# Time          1.5000E+00
# Units: Weight % Mineral
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   5.763476E+01   4.234088E+01   1.744028E-02   6.920648E-03
   1.500000E+00   5.764481E+01   4.234827E+01   3.540954E-06   6.921855E-03
   2.500000E+00   5.764481E+01   4.234827E+01   3.209008E-06   6.921855E-03
   3.500000E+00   5.764481E+01   4.234827E+01   3.086990E-06   6.921855E-03
   4.500000E+00   5.764481E+01   4.234827E+01   2.971006E-06   6.921855E-03
   5.500000E+00   5.764481E+01   4.234827E+01   2.854566E-06   6.921855E-03
   6.500000E+00   5.764481E+01   4.234827E+01   2.739312E-06   6.921855E-03
   7.500000E+00   5.764481E+01   4.234827E+01   2.621139E-06   6.921855E-03
   8.500000E+00   5.764481E+01   4.234827E+01   2.504035E-06   6.921855E-03
   9.500000E+00   5.764481E+01   4.234827E+01   2.388765E-06   6.921855E-03
   1.050000E+01   5.764481E+01   4.234827E+01   2.276790E-06   6.921855E-03
   1.150000E+01   5.764481E+01   4.234827E+01   2.164158E-06   6.921855E-03
   1.250000E+01   5.764481E+01   4.234827E+01   2.040516E-06   6.921855E-03
   1.350000E+01   5.764481E+01   4.234827E+01   1.881471E-06   6.921855E-03
   1.450000E+01   5.764481E+01   4.234827E+01   1.685319E-06   6.921855E-03
   1.550000E+01   5.764481E+01   4.234827E+01   1.468633E-06   6.921855E-03
   1.650000E+01   5.764481E+01   4.234827E+01   1.252414E-06   6.921855E-03
   1.750000E+01   5.764481E+01   4.234827E+01   1.127498E-06   6.921855E-03
   1.850000E+01   5.764481E+01   4.234827E+01   9.725682E-07   6.921855E-03
   1.950000E+01   5.764481E+01   4.234827E+01   8.368004E-07   6.921855E-03
   2.050000E+01   5.764481E+01   4.234827E+01   6.420798E-07   6.921855E-03
   2.150000E+01   5.764481E+01   4.234827E+01   5.519327E-07   6.921855E-03
   2.250000E+01   5.764481E+01   4.234827E+01   3.863108E-07   6.921855E-03
   2.350000E+01   5.764481E+01   4.234827E+01   2.984829E-07   6.921855E-03
   2.450000E+01   5.764481E+01   4.234827E+01   1.383874E-07   6.921855E-03
   2.550000E+01   5.764481E+01   4.234827E+01   5.603953E-08   6.921855E-03
   2.650000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   2.750000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   2.850000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   2.950000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.050000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.150000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.250000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.350000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.450000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.550000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.650000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.750000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.850000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   3.950000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.050000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.150000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.250000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.350000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.450000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.550000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.650000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.750000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
   4.850000E+01   5.764481E+01   4.234827E+01   0.000000E+00   6.921855E-03
