# Time          1.5000E+00
# Units: Mole component in mineral/m^3 porous medium
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01  -9.043702E+00   2.989949E-04   3.014468E+00   1.182970E+01   4.484923E-04   6.360000E-04
   1.500000E+00  -9.043403E+00   6.069528E-08   3.014468E+00   1.182970E+01   9.104292E-08   6.360000E-04
   2.500000E+00  -9.043403E+00   5.500540E-08   3.014468E+00   1.182970E+01   8.250811E-08   6.360000E-04
   3.500000E+00  -9.043403E+00   5.291390E-08   3.014468E+00   1.182970E+01   7.937086E-08   6.360000E-04
   4.500000E+00  -9.043403E+00   5.092584E-08   3.014468E+00   1.182970E+01   7.638875E-08   6.360000E-04
   5.500000E+00  -9.043403E+00   4.892994E-08   3.014468E+00   1.182970E+01   7.339490E-08   6.360000E-04
   6.500000E+00  -9.043403E+00   4.695438E-08   3.014468E+00   1.182970E+01   7.043156E-08   6.360000E-04
   7.500000E+00  -9.043403E+00   4.492879E-08   3.014468E+00   1.182970E+01   6.739319E-08   6.360000E-04
   8.500000E+00  -9.043403E+00   4.292152E-08   3.014468E+00   1.182970E+01   6.438227E-08   6.360000E-04
   9.500000E+00  -9.043403E+00   4.094568E-08   3.014468E+00   1.182970E+01   6.141851E-08   6.360000E-04
   1.050000E+01  -9.043403E+00   3.902632E-08   3.014468E+00   1.182970E+01   5.853949E-08   6.360000E-04
   1.150000E+01  -9.043403E+00   3.709571E-08   3.014468E+00   1.182970E+01   5.564356E-08   6.360000E-04
   1.250000E+01  -9.043403E+00   3.497637E-08   3.014468E+00   1.182970E+01   5.246455E-08   6.360000E-04
   1.350000E+01  -9.043403E+00   3.225019E-08   3.014468E+00   1.182970E+01   4.837528E-08   6.360000E-04
   1.450000E+01  -9.043404E+00   2.888794E-08   3.014468E+00   1.182970E+01   4.333192E-08   6.360000E-04
   1.550000E+01  -9.043404E+00   2.517375E-08   3.014468E+00   1.182970E+01   3.776062E-08   6.360000E-04
   1.650000E+01  -9.043404E+00   2.146756E-08   3.014468E+00   1.182970E+01   3.220134E-08   6.360000E-04
   1.750000E+01  -9.043404E+00   1.932638E-08   3.014468E+00   1.182970E+01   2.898957E-08   6.360000E-04
   1.850000E+01  -9.043404E+00   1.667073E-08   3.014468E+00   1.182970E+01   2.500610E-08   6.360000E-04
   1.950000E+01  -9.043404E+00   1.434354E-08   3.014468E+00   1.182970E+01   2.151532E-08   6.360000E-04
   2.050000E+01  -9.043404E+00   1.100585E-08   3.014468E+00   1.182970E+01   1.650878E-08   6.360000E-04
   2.150000E+01  -9.043404E+00   9.460646E-09   3.014468E+00   1.182970E+01   1.419097E-08   6.360000E-04
   2.250000E+01  -9.043404E+00   6.621731E-09   3.014468E+00   1.182970E+01   9.932596E-09   6.360000E-04
   2.350000E+01  -9.043404E+00   5.116278E-09   3.014468E+00   1.182970E+01   7.674417E-09   6.360000E-04
   2.450000E+01  -9.043404E+00   2.372091E-09   3.014468E+00   1.182970E+01   3.558136E-09   6.360000E-04
   2.550000E+01  -9.043404E+00   9.605702E-10   3.014468E+00   1.182970E+01   1.440855E-09   6.360000E-04
   2.650000E+01  -9.043404E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.750000E+01  -9.043404E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.850000E+01  -9.043404E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.950000E+01  -9.043404E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.050000E+01  -9.043404E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.150000E+01  -9.043404E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.250000E+01  -9.043404E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
