# Time          1.0000E+00
# Units: Weight % Component
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01  -9.919133E-01   2.090066E-03   8.850982E+00   7.734806E+01   8.820274E-03   0.000000E+00
   1.500000E+00  -9.920071E-01   3.961778E-07   8.852015E+00   7.735709E+01   1.671907E-06   0.000000E+00
   2.500000E+00  -9.920071E-01   3.501519E-07   8.852016E+00   7.735709E+01   1.477673E-06   0.000000E+00
   3.500000E+00  -9.920071E-01   3.283122E-07   8.852016E+00   7.735709E+01   1.385508E-06   0.000000E+00
   4.500000E+00  -9.920071E-01   3.075529E-07   8.852016E+00   7.735709E+01   1.297902E-06   0.000000E+00
   5.500000E+00  -9.920071E-01   2.867118E-07   8.852016E+00   7.735709E+01   1.209951E-06   0.000000E+00
   6.500000E+00  -9.920071E-01   2.660832E-07   8.852016E+00   7.735709E+01   1.122896E-06   0.000000E+00
   7.500000E+00  -9.920071E-01   2.449318E-07   8.852016E+00   7.735709E+01   1.033635E-06   0.000000E+00
   8.500000E+00  -9.920071E-01   2.239719E-07   8.852016E+00   7.735709E+01   9.451823E-07   0.000000E+00
   9.500000E+00  -9.920071E-01   2.033403E-07   8.852016E+00   7.735709E+01   8.581149E-07   0.000000E+00
   1.050000E+01  -9.920071E-01   1.832989E-07   8.852016E+00   7.735709E+01   7.735383E-07   0.000000E+00
   1.150000E+01  -9.920071E-01   1.631395E-07   8.852016E+00   7.735709E+01   6.884640E-07   0.000000E+00
   1.250000E+01  -9.920071E-01   1.410091E-07   8.852016E+00   7.735709E+01   5.950713E-07   0.000000E+00
   1.350000E+01  -9.920071E-01   1.125399E-07   8.852016E+00   7.735709E+01   4.749289E-07   0.000000E+00
   1.450000E+01  -9.920071E-01   7.743005E-08   8.852016E+00   7.735709E+01   3.267620E-07   0.000000E+00
   1.550000E+01  -9.920071E-01   3.866831E-08   8.852016E+00   7.735709E+01   1.631839E-07   0.000000E+00
   1.650000E+01  -9.920071E-01   1.630942E-10   8.852016E+00   7.735709E+01   6.882725E-10   0.000000E+00
   1.750000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.850000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.950000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.050000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.150000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.250000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.350000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.450000E+01  -9.920071E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.550000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.650000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.750000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.850000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.950000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.050000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.150000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.250000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.350000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.450000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.550000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.650000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.750000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.850000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.950000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.050000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.150000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.250000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.350000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.450000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.550000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.650000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.750000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.850000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.950000E+01  -9.920072E-01   0.000000E+00   8.852016E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.050000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.150000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.250000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.350000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.450000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.550000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.650000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.750000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.850000E+01  -9.920072E-01   0.000000E+00   8.852017E+00   7.735709E+01   0.000000E+00   0.000000E+00
