# Time          2.5000E-01
    Distance         pH
  5.0000E-01    2.9238E+00
  1.5000E+00    2.9238E+00
  2.5000E+00    2.9239E+00
  3.5000E+00    2.9240E+00
  4.5000E+00    2.9240E+00
  5.5000E+00    2.9239E+00
  6.5000E+00    2.9228E+00
  7.5000E+00    2.9228E+00
  8.5000E+00    2.9230E+00
  9.5000E+00    2.9234E+00
  1.0500E+01    2.9242E+00
  1.1500E+01    2.9256E+00
  1.2500E+01    2.9279E+00
  1.3500E+01    2.9316E+00
  1.4500E+01    2.9373E+00
  1.5500E+01    2.9456E+00
  1.6500E+01    2.9570E+00
  1.7500E+01    2.9723E+00
  1.8500E+01    2.9919E+00
  1.9500E+01    3.0166E+00
  2.0500E+01    3.0466E+00
  2.1500E+01    3.0824E+00
  2.2500E+01    3.1243E+00
  2.3500E+01    3.1724E+00
  2.4500E+01    3.2271E+00
  2.5500E+01    3.2882E+00
  2.6500E+01    3.3560E+00
  2.7500E+01    3.4303E+00
  2.8500E+01    3.5111E+00
  2.9500E+01    3.5984E+00
  3.0500E+01    3.6921E+00
  3.1500E+01    3.7919E+00
  3.2500E+01    3.8977E+00
  3.3500E+01    4.0094E+00
  3.4500E+01    4.1264E+00
  3.5500E+01    4.2485E+00
  3.6500E+01    4.3752E+00
  3.7500E+01    4.5061E+00
  3.8500E+01    4.6420E+00
  3.9500E+01    4.7850E+00
  4.0500E+01    4.9376E+00
  4.1500E+01    5.1019E+00
  4.2500E+01    5.2798E+00
  4.3500E+01    5.4753E+00
  4.4500E+01    5.6970E+00
  4.5500E+01    5.9612E+00
  4.6500E+01    6.2933E+00
  4.7500E+01    6.6729E+00
  4.8500E+01    6.9766E+00
  4.9500E+01    7.1722E+00
  5.0500E+01    7.2943E+00
  5.1500E+01    7.3708E+00
  5.2500E+01    7.4189E+00
  5.3500E+01    7.4492E+00
  5.4500E+01    7.4683E+00
  5.5500E+01    7.4804E+00
  5.6500E+01    7.4879E+00
  5.7500E+01    7.4927E+00
  5.8500E+01    7.4956E+00
  5.9500E+01    7.4975E+00
  6.0500E+01    7.4986E+00
  6.1500E+01    7.4993E+00
  6.2500E+01    7.4997E+00
  6.3500E+01    7.4999E+00
  6.4500E+01    7.5001E+00
  6.5500E+01    7.5002E+00
  6.6500E+01    7.5002E+00
  6.7500E+01    7.5003E+00
  6.8500E+01    7.5003E+00
  6.9500E+01    7.5003E+00
  7.0500E+01    7.5003E+00
  7.1500E+01    7.5003E+00
  7.2500E+01    7.5003E+00
  7.3500E+01    7.5003E+00
  7.4500E+01    7.5003E+00
  7.5500E+01    7.5003E+00
  7.6500E+01    7.5003E+00
  7.7500E+01    7.5003E+00
  7.8500E+01    7.5003E+00
  7.9500E+01    7.5003E+00
  8.0500E+01    7.5003E+00
  8.1500E+01    7.5003E+00
  8.2500E+01    7.5003E+00
  8.3500E+01    7.5003E+00
  8.4500E+01    7.5003E+00
  8.5500E+01    7.5003E+00
  8.6500E+01    7.5003E+00
  8.7500E+01    7.5003E+00
  8.8500E+01    7.5003E+00
  8.9500E+01    7.5003E+00
  9.0500E+01    7.5003E+00
  9.1500E+01    7.5003E+00
  9.2500E+01    7.5003E+00
  9.3500E+01    7.5003E+00
  9.4500E+01    7.5003E+00
  9.5500E+01    7.5003E+00
  9.6500E+01    7.5003E+00
  9.7500E+01    7.5003E+00
  9.8500E+01    7.5003E+00
  9.9500E+01    7.5003E+00
