# Time          5.0000E-01
# Units: Mol/L Porous Medium/s
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   1.561888E-15  -1.999858E-14   3.135632E-12   1.145149E-38
   1.500000E+00   1.562534E-15  -1.999858E-14   7.219811E-16   1.145424E-38
   2.500000E+00   1.563181E-15  -1.999858E-14   6.812733E-16   1.145699E-38
   3.500000E+00   1.563827E-15  -1.999858E-14   6.812506E-16   1.145974E-38
   4.500000E+00   1.564473E-15  -1.999858E-14   6.812265E-16   1.146249E-38
   5.500000E+00   1.565120E-15  -1.999858E-14   6.811938E-16   1.146525E-38
   6.500000E+00   1.565766E-15  -1.999858E-14   6.810218E-16   1.146800E-38
   7.500000E+00   1.566412E-15  -1.999858E-14   6.789058E-16   1.147075E-38
   8.500000E+00   1.567059E-15  -1.999858E-14   0.000000E+00   1.147345E-38
   9.500000E+00   1.567705E-15  -1.999858E-14   0.000000E+00   1.147554E-38
   1.050000E+01   1.568351E-15  -1.999858E-14   0.000000E+00   1.147301E-38
   1.150000E+01   1.568997E-15  -1.999858E-14   0.000000E+00   1.144035E-38
   1.250000E+01   1.569641E-15  -1.999858E-14   0.000000E+00   1.132784E-38
   1.350000E+01   1.570287E-15  -1.999858E-14   0.000000E+00   1.129459E-38
   1.450000E+01   1.570932E-15  -1.999858E-14   0.000000E+00   1.129539E-38
   1.550000E+01   1.571576E-15  -1.999858E-14   0.000000E+00   1.129788E-38
   1.650000E+01   1.572218E-15  -1.999858E-14   0.000000E+00   1.130044E-38
   1.750000E+01   1.572856E-15  -1.999858E-14   0.000000E+00   1.130291E-38
   1.850000E+01   1.573485E-15  -1.999858E-14   0.000000E+00   1.130516E-38
   1.950000E+01   1.574100E-15  -1.999858E-14   0.000000E+00   1.130702E-38
   2.050000E+01   1.574689E-15  -1.999858E-14   0.000000E+00   1.130821E-38
   2.150000E+01   1.575235E-15  -1.999858E-14   0.000000E+00   1.130831E-38
   2.250000E+01   1.575714E-15  -1.999858E-14   0.000000E+00   1.130670E-38
   2.350000E+01   1.576088E-15  -1.999858E-14   0.000000E+00   1.130253E-38
   2.450000E+01   1.576309E-15  -1.999858E-14   0.000000E+00   1.129463E-38
   2.550000E+01   1.576307E-15  -1.999858E-14   0.000000E+00   1.128149E-38
   2.650000E+01   1.575996E-15  -1.999858E-14   0.000000E+00   1.126119E-38
   2.750000E+01   1.575266E-15  -1.999858E-14   0.000000E+00   1.123140E-38
   2.850000E+01   1.573983E-15  -1.999858E-14   0.000000E+00   1.118939E-38
   2.950000E+01   1.571993E-15  -1.999858E-14   0.000000E+00   1.113207E-38
   3.050000E+01   1.569121E-15  -1.999858E-14   0.000000E+00   1.105607E-38
   3.150000E+01   1.565175E-15  -1.999858E-14   0.000000E+00   1.095789E-38
   3.250000E+01   1.559957E-15  -1.999858E-14   0.000000E+00   1.083399E-38
   3.350000E+01   1.553265E-15  -1.999857E-14   0.000000E+00   1.068105E-38
   3.450000E+01   1.544909E-15  -1.999857E-14   0.000000E+00   1.049612E-38
   3.550000E+01   1.534717E-15  -1.999857E-14   0.000000E+00   1.027682E-38
   3.650000E+01   1.522550E-15  -1.999856E-14   0.000000E+00   1.002156E-38
   3.750000E+01   1.508307E-15  -1.999856E-14   0.000000E+00   9.729626E-39
   3.850000E+01   1.491937E-15  -1.999855E-14   0.000000E+00   9.401331E-39
   3.950000E+01   1.473446E-15  -1.999854E-14   0.000000E+00   9.038064E-39
   4.050000E+01   1.452897E-15  -1.999853E-14   0.000000E+00   8.642278E-39
   4.150000E+01   1.430413E-15  -1.999851E-14   0.000000E+00   8.217432E-39
   4.250000E+01   1.406174E-15  -1.999849E-14   0.000000E+00   7.767870E-39
   4.350000E+01   1.380410E-15  -1.999846E-14   0.000000E+00   7.298663E-39
   4.450000E+01   1.353393E-15  -1.999841E-14   0.000000E+00   6.815408E-39
   4.550000E+01   1.325429E-15  -1.999835E-14   0.000000E+00   6.324013E-39
   4.650000E+01   1.296842E-15  -1.999826E-14   0.000000E+00   5.830472E-39
   4.750000E+01   1.267965E-15  -1.999812E-14   0.000000E+00   5.340647E-39
   4.850000E+01   1.239129E-15  -1.999792E-14   0.000000E+00   4.860071E-39
   4.950000E+01   1.210647E-15  -1.999760E-14   0.000000E+00   4.393779E-39
   5.050000E+01   1.182812E-15  -1.999709E-14   0.000000E+00   3.946174E-39
   5.150000E+01   1.155880E-15  -1.999626E-14   0.000000E+00   3.520936E-39
   5.250000E+01   1.130071E-15  -1.999488E-14   0.000000E+00   3.120966E-39
   5.350000E+01   1.105565E-15  -1.999251E-14   0.000000E+00   2.748371E-39
   5.450000E+01   1.082495E-15  -1.998837E-14   0.000000E+00   2.404487E-39
   5.550000E+01   1.060956E-15  -1.998092E-14   0.000000E+00   2.089926E-39
   5.650000E+01   1.040997E-15  -1.996727E-14   0.000000E+00   1.804649E-39
   5.750000E+01   1.022633E-15  -1.994168E-14   0.000000E+00   1.548051E-39
   5.850000E+01   1.005846E-15  -1.989288E-14   0.000000E+00   1.319065E-39
