# Time          1.5000E+00
# Units: Mol/L Porous Medium/s
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   1.561888E-15  -1.999858E-14   3.135632E-12   1.145149E-38
   1.500000E+00   1.562534E-15  -1.999858E-14   7.219811E-16   1.145424E-38
   2.500000E+00   1.563181E-15  -1.999858E-14   6.812741E-16   1.145699E-38
   3.500000E+00   1.563827E-15  -1.999858E-14   6.812506E-16   1.145974E-38
   4.500000E+00   1.564473E-15  -1.999858E-14   6.812272E-16   1.146249E-38
   5.500000E+00   1.565120E-15  -1.999858E-14   6.812037E-16   1.146525E-38
   6.500000E+00   1.565766E-15  -1.999858E-14   6.811803E-16   1.146800E-38
   7.500000E+00   1.566412E-15  -1.999858E-14   6.811582E-16   1.147075E-38
   8.500000E+00   1.567059E-15  -1.999858E-14   6.811341E-16   1.147350E-38
   9.500000E+00   1.567705E-15  -1.999858E-14   6.811106E-16   1.147625E-38
   1.050000E+01   1.568351E-15  -1.999858E-14   6.810872E-16   1.147901E-38
   1.150000E+01   1.568997E-15  -1.999858E-14   6.810637E-16   1.148176E-38
   1.250000E+01   1.569644E-15  -1.999858E-14   6.810403E-16   1.148451E-38
   1.350000E+01   1.570290E-15  -1.999858E-14   6.810176E-16   1.148726E-38
   1.450000E+01   1.570936E-15  -1.999858E-14   6.809934E-16   1.149001E-38
   1.550000E+01   1.571582E-15  -1.999858E-14   6.809699E-16   1.149277E-38
   1.650000E+01   1.572229E-15  -1.999858E-14   6.809472E-16   1.149552E-38
   1.750000E+01   1.572875E-15  -1.999858E-14   6.809223E-16   1.149827E-38
   1.850000E+01   1.573521E-15  -1.999858E-14   6.808939E-16   1.150102E-38
   1.950000E+01   1.574167E-15  -1.999858E-14   6.808456E-16   1.150377E-38
   2.050000E+01   1.574813E-15  -1.999858E-14   6.807319E-16   1.150652E-38
   2.150000E+01   1.575459E-15  -1.999858E-14   6.804136E-16   1.150927E-38
   2.250000E+01   1.576105E-15  -1.999858E-14   6.795325E-16   1.151202E-38
   2.350000E+01   1.576752E-15  -1.999858E-14   6.772204E-16   1.151477E-38
   2.450000E+01   1.577398E-15  -1.999858E-14   6.223402E-16   1.151749E-38
   2.550000E+01   1.578044E-15  -1.999858E-14   2.520146E-16   1.152014E-38
   2.650000E+01   1.578690E-15  -1.999858E-14   0.000000E+00   1.152261E-38
   2.750000E+01   1.579336E-15  -1.999857E-14   0.000000E+00   1.152468E-38
   2.850000E+01   1.579982E-15  -1.999857E-14   0.000000E+00   1.152594E-38
   2.950000E+01   1.580628E-15  -1.999857E-14   0.000000E+00   1.152560E-38
   3.050000E+01   1.581274E-15  -1.999857E-14   0.000000E+00   1.152236E-38
   3.150000E+01   1.581920E-15  -1.999857E-14   0.000000E+00   1.151378E-38
   3.250000E+01   1.582566E-15  -1.999857E-14   0.000000E+00   1.149654E-38
   3.350000E+01   1.583211E-15  -1.999857E-14   0.000000E+00   1.146606E-38
   3.450000E+01   1.583857E-15  -1.999857E-14   0.000000E+00   1.142207E-38
   3.550000E+01   1.584502E-15  -1.999857E-14   0.000000E+00   1.138245E-38
   3.650000E+01   1.585148E-15  -1.999857E-14   0.000000E+00   1.136270E-38
   3.750000E+01   1.585793E-15  -1.999857E-14   0.000000E+00   1.135945E-38
   3.850000E+01   1.586439E-15  -1.999857E-14   0.000000E+00   1.136109E-38
   3.950000E+01   1.587085E-15  -1.999857E-14   0.000000E+00   1.136363E-38
   4.050000E+01   1.587731E-15  -1.999857E-14   0.000000E+00   1.136632E-38
   4.150000E+01   1.588377E-15  -1.999857E-14   0.000000E+00   1.136902E-38
   4.250000E+01   1.589023E-15  -1.999857E-14   0.000000E+00   1.137174E-38
   4.350000E+01   1.589669E-15  -1.999857E-14   0.000000E+00   1.137445E-38
   4.450000E+01   1.590315E-15  -1.999857E-14   0.000000E+00   1.137717E-38
   4.550000E+01   1.590961E-15  -1.999857E-14   0.000000E+00   1.137988E-38
   4.650000E+01   1.591607E-15  -1.999857E-14   0.000000E+00   1.138259E-38
   4.750000E+01   1.592252E-15  -1.999857E-14   0.000000E+00   1.138531E-38
   4.850000E+01   1.592898E-15  -1.999857E-14   0.000000E+00   1.138802E-38
   4.950000E+01   1.593544E-15  -1.999857E-14   0.000000E+00   1.139073E-38
   5.050000E+01   1.594189E-15  -1.999857E-14   0.000000E+00   1.139343E-38
   5.150000E+01   1.594835E-15  -1.999857E-14   0.000000E+00   1.139613E-38
   5.250000E+01   1.595480E-15  -1.999857E-14   0.000000E+00   1.139883E-38
   5.350000E+01   1.596125E-15  -1.999857E-14   0.000000E+00   1.140151E-38
   5.450000E+01   1.596770E-15  -1.999857E-14   0.000000E+00   1.140418E-38
   5.550000E+01   1.597414E-15  -1.999857E-14   0.000000E+00   1.140684E-38
   5.650000E+01   1.598058E-15  -1.999857E-14   0.000000E+00   1.140947E-38
   5.750000E+01   1.598701E-15  -1.999857E-14   0.000000E+00   1.141207E-38
   5.850000E+01   1.599343E-15  -1.999857E-14   0.000000E+00   1.141464E-38
