# Time          1.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   4.085601E-01  -5.802919E+00   1.361768E-05   7.818978E-05
   1.500000E+00   4.086420E-01  -5.800239E+00  -1.538532E-02   7.816293E-05
   2.500000E+00   4.085487E-01  -5.799487E+00  -3.142662E-01   7.767218E-05
   3.500000E+00   4.078897E-01  -5.796176E+00  -3.226352E+00   7.612587E-05
   4.500000E+00   4.059974E-01  -5.765680E+00  -7.986553E+00   7.442119E-05
   5.500000E+00   4.020677E-01  -5.704960E+00  -1.288970E+01   7.126120E-05
   6.500000E+00   3.954379E-01  -5.601342E+00  -1.788501E+01   6.621462E-05
   7.500000E+00   3.858573E-01  -5.443388E+00  -2.296885E+01   5.931175E-05
   8.500000E+00   3.736230E-01  -5.222267E+00  -2.691781E+01   5.099703E-05
   9.500000E+00   3.595351E-01  -4.931908E+00  -2.736358E+01   4.199638E-05
   1.050000E+01   3.447042E-01  -4.568799E+00  -2.725910E+01   3.310571E-05
   1.150000E+01   3.302890E-01  -4.131846E+00  -2.714303E+01   2.499622E-05
   1.250000E+01   3.172536E-01  -3.622439E+00  -2.703529E+01   1.810013E-05
   1.350000E+01   3.062131E-01  -3.044885E+00  -2.694666E+01   1.258957E-05
   1.450000E+01   2.973971E-01  -2.407491E+00  -2.688523E+01   8.424008E-06
   1.550000E+01   2.907140E-01  -1.725166E+00  -2.685346E+01   5.428160E-06
   1.650000E+01   2.858664E-01  -1.025856E+00  -2.684547E+01   3.368655E-06
   1.750000E+01   2.824763E-01  -3.652559E-01  -2.684712E+01   2.012536E-06
   1.850000E+01   2.802044E-01   1.477285E-01  -2.683902E+01   1.162359E-06
   1.950000E+01   2.788378E-01   3.648790E-01  -2.680312E+01   6.616222E-07
   2.050000E+01   2.781607E-01   2.651072E-01  -2.673142E+01   3.797714E-07
   2.150000E+01   2.778483E-01   8.344595E-02  -2.663766E+01   2.236388E-07
   2.250000E+01   2.776900E-01   1.642501E-02  -2.657942E+01   1.433457E-07
   2.350000E+01   2.776057E-01   9.103307E-03  -2.676249E+01   1.255694E-07
   2.450000E+01   2.775624E-01   1.130691E-02  -2.761288E+01   1.537454E-07
   2.550000E+01   2.775419E-01   5.533821E-03  -2.849383E+01   1.753526E-07
   2.650000E+01   2.775324E-01   1.824920E-03  -2.899799E+01   1.862715E-07
