# Time          1.5000E+00
# Units: Mol/m^3 porous medium
    Distance     >SiOH          >FeOH          >AlOH          >SiOUO3H3++    >SiOUO3H2+     >SiOUO3H       >SiOUO3-       >SiOUO2(OH)2-  >FeOHUO3       >FeOHUO2++     >AlOUO2+      
   5.000000E-01   6.359800E-03   2.135434E-04   7.365133E-04   2.834772E-13   2.378310E-10   1.995348E-07   1.131798E-11   1.131798E-11   9.037773E-07   6.145553E-03   5.623487E-03
   1.500000E+00   6.359800E-03   2.135836E-04   7.365372E-04   2.834220E-13   2.378223E-10   1.995591E-07   1.132114E-11   1.132114E-11   9.040572E-07   6.145512E-03   5.623463E-03
   2.500000E+00   6.359800E-03   2.136217E-04   7.365544E-04   2.833696E-13   2.378160E-10   1.995854E-07   1.132443E-11   1.132443E-11   9.043378E-07   6.145474E-03   5.623446E-03
   3.500000E+00   6.359800E-03   2.136599E-04   7.365717E-04   2.833173E-13   2.378097E-10   1.996117E-07   1.132772E-11   1.132772E-11   9.046185E-07   6.145436E-03   5.623428E-03
   4.500000E+00   6.359800E-03   2.136980E-04   7.365889E-04   2.832649E-13   2.378034E-10   1.996380E-07   1.133100E-11   1.133100E-11   9.048994E-07   6.145397E-03   5.623411E-03
   5.500000E+00   6.359800E-03   2.137362E-04   7.366061E-04   2.832125E-13   2.377971E-10   1.996644E-07   1.133429E-11   1.133429E-11   9.051804E-07   6.145359E-03   5.623394E-03
   6.500000E+00   6.359800E-03   2.137744E-04   7.366234E-04   2.831602E-13   2.377908E-10   1.996907E-07   1.133759E-11   1.133759E-11   9.054616E-07   6.145320E-03   5.623377E-03
   7.500000E+00   6.359800E-03   2.138125E-04   7.366406E-04   2.831079E-13   2.377845E-10   1.997171E-07   1.134088E-11   1.134088E-11   9.057428E-07   6.145282E-03   5.623359E-03
   8.500000E+00   6.359800E-03   2.138507E-04   7.366578E-04   2.830555E-13   2.377782E-10   1.997434E-07   1.134417E-11   1.134417E-11   9.060242E-07   6.145243E-03   5.623342E-03
   9.500000E+00   6.359800E-03   2.138890E-04   7.366751E-04   2.830032E-13   2.377719E-10   1.997698E-07   1.134747E-11   1.134747E-11   9.063058E-07   6.145205E-03   5.623325E-03
   1.050000E+01   6.359800E-03   2.139272E-04   7.366923E-04   2.829508E-13   2.377656E-10   1.997962E-07   1.135077E-11   1.135077E-11   9.065874E-07   6.145166E-03   5.623308E-03
   1.150000E+01   6.359800E-03   2.139654E-04   7.367095E-04   2.828985E-13   2.377593E-10   1.998226E-07   1.135406E-11   1.135406E-11   9.068692E-07   6.145128E-03   5.623290E-03
   1.250000E+01   6.359800E-03   2.140036E-04   7.367268E-04   2.828462E-13   2.377530E-10   1.998489E-07   1.135736E-11   1.135736E-11   9.071511E-07   6.145089E-03   5.623273E-03
   1.350000E+01   6.359800E-03   2.140419E-04   7.367440E-04   2.827938E-13   2.377468E-10   1.998754E-07   1.136067E-11   1.136067E-11   9.074331E-07   6.145051E-03   5.623256E-03
   1.450000E+01   6.359800E-03   2.140802E-04   7.367612E-04   2.827415E-13   2.377405E-10   1.999018E-07   1.136397E-11   1.136397E-11   9.077153E-07   6.145012E-03   5.623239E-03
