# Time          2.5000E-01
# Units: Mol/kgw
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01   1.290694E-03   6.061902E-05   2.897539E-05   2.528638E-04   1.980053E-05   1.000000E-02
   1.500000E+00   1.290497E-03   6.061663E-05   2.904177E-05   2.529276E-04   1.979694E-05   1.000000E-02
   2.500000E+00   1.290300E-03   6.061470E-05   2.910816E-05   2.529914E-04   1.979353E-05   1.000000E-02
   3.500000E+00   1.290108E-03   6.061517E-05   2.917453E-05   2.530551E-04   1.978367E-05   1.000000E-02
   4.500000E+00   1.289997E-03   6.061552E-05   2.924081E-05   2.531187E-04   1.965346E-05   1.000000E-02
   5.500000E+00   1.290689E-03   6.061519E-05   2.930679E-05   2.531815E-04   1.831695E-05   1.000000E-02
   6.500000E+00   1.296080E-03   6.061270E-05   2.937176E-05   2.532422E-04   8.862703E-06   1.000000E-02
   7.500000E+00   1.298352E-03   6.060453E-05   2.943407E-05   2.532967E-04   4.489716E-07   1.000000E-02
   8.500000E+00   1.297805E-03   6.058327E-05   2.949011E-05   2.533372E-04   1.347284E-08   1.000000E-02
   9.500000E+00   1.296559E-03   6.053503E-05   2.953319E-05   2.533483E-04   3.982765E-10   1.000000E-02
   1.050000E+01   1.294224E-03   6.043658E-05   2.955199E-05   2.533046E-04   1.173766E-11   1.000000E-02
   1.150000E+01   1.290051E-03   6.025278E-05   2.952937E-05   2.531675E-04   3.533478E-13   1.000000E-02
   1.250000E+01   1.282995E-03   5.993546E-05   2.944168E-05   2.528837E-04   2.119945E-14   1.000000E-02
   1.350000E+01   1.271747E-03   5.942443E-05   2.925930E-05   2.523864E-04   1.159282E-14   1.000000E-02
   1.450000E+01   1.254821E-03   5.865151E-05   2.894844E-05   2.515997E-04   1.123389E-14   1.000000E-02
   1.550000E+01   1.230704E-03   5.754724E-05   2.847445E-05   2.504461E-04   1.109713E-14   1.000000E-02
   1.650000E+01   1.198042E-03   5.604971E-05   2.780607E-05   2.488557E-04   1.092034E-14   1.000000E-02
   1.750000E+01   1.155846E-03   5.411383E-05   2.692001E-05   2.467772E-04   1.068920E-14   1.000000E-02
   1.850000E+01   1.103670E-03   5.171950E-05   2.580497E-05   2.441863E-04   1.039881E-14   1.000000E-02
   1.950000E+01   1.041729E-03   4.887700E-05   2.446436E-05   2.410925E-04   1.004698E-14   1.000000E-02
   2.050000E+01   9.709369E-04   4.562848E-05   2.291715E-05   2.375404E-04   9.634339E-15   1.000000E-02
   2.150000E+01   8.928458E-04   4.204547E-05   2.119670E-05   2.336073E-04   9.164618E-15   1.000000E-02
   2.250000E+01   8.095159E-04   3.822256E-05   1.934781E-05   2.293963E-04   8.644021E-15   1.000000E-02
   2.350000E+01   7.233223E-04   3.426865E-05   1.742251E-05   2.250266E-04   8.080667E-15   1.000000E-02
   2.450000E+01   6.367397E-04   3.029709E-05   1.547528E-05   2.206228E-04   7.484121E-15   1.000000E-02
   2.550000E+01   5.521339E-04   2.641608E-05   1.355836E-05   2.163042E-04   6.864106E-15   1.000000E-02
   2.650000E+01   4.715867E-04   2.272078E-05   1.171791E-05   2.121760E-04   6.230975E-15   1.000000E-02
   2.750000E+01   3.967718E-04   1.928754E-05   9.991187E-06   2.083229E-04   5.594518E-15   1.000000E-02
   2.850000E+01   3.288884E-04   1.617099E-05   8.405024E-06   2.048058E-04   4.964565E-15   1.000000E-02
   2.950000E+01   2.686496E-04   1.340351E-05   6.975575E-06   2.016610E-04   4.350844E-15   1.000000E-02
   3.050000E+01   2.163164E-04   1.099679E-05   5.709039E-06   1.989023E-04   3.763164E-15   1.000000E-02
   3.150000E+01   1.717648E-04   8.944975E-06   4.603117E-06   1.965238E-04   3.211213E-15   1.000000E-02
   3.250000E+01   1.345700E-04   7.228463E-06   3.648895E-06   1.945047E-04   2.704082E-15   1.000000E-02
   3.350000E+01   1.040960E-04   5.818088E-06   2.832927E-06   1.928135E-04   2.249520E-15   1.000000E-02
   3.450000E+01   7.958064E-05   4.678981E-06   2.139343E-06   1.914129E-04   1.852977E-15   1.000000E-02
   3.550000E+01   6.020610E-05   3.773933E-06   1.552144E-06   1.902638E-04   1.516894E-15   1.000000E-02
   3.650000E+01   4.515039E-05   3.066032E-06   1.058841E-06   1.893309E-04   1.240392E-15   1.000000E-02
   3.750000E+01   3.361422E-05   2.520573E-06   6.562994E-07   1.885895E-04   1.019381E-15   1.000000E-02
   3.850000E+01   2.483984E-05   2.106272E-06   3.539589E-07   1.880298E-04   8.472078E-16   1.000000E-02
   3.950000E+01   1.816337E-05   1.795889E-06   1.613363E-07   1.876443E-04   7.163938E-16   1.000000E-02
   4.050000E+01   1.309178E-05   1.566408E-06   6.371978E-08   1.874041E-04   6.210495E-16   1.000000E-02
   4.150000E+01   9.293955E-06   1.398876E-06   2.401062E-08   1.872602E-04   5.578192E-16   1.000000E-02
   4.250000E+01   6.511777E-06   1.278048E-06   9.588947E-09   1.871707E-04   5.252910E-16   1.000000E-02
   4.350000E+01   4.513496E-06   1.191917E-06   4.216758E-09   1.871118E-04   5.242834E-16   1.000000E-02
   4.450000E+01   3.099779E-06   1.131205E-06   2.088689E-09   1.870719E-04   5.594921E-16   1.000000E-02
   4.550000E+01   2.111912E-06   1.088872E-06   1.258610E-09   1.870447E-04   6.406070E-16   1.000000E-02
   4.650000E+01   1.428979E-06   1.059659E-06   1.069544E-09   1.870263E-04   7.725769E-16   1.000000E-02
   4.750000E+01   9.609202E-07   1.039702E-06   1.420219E-09   1.870143E-04   9.042999E-16   1.000000E-02
   4.850000E+01   6.424956E-07   1.026199E-06   2.224143E-09   1.870067E-04   9.663290E-16   1.000000E-02
   4.950000E+01   4.278252E-07   1.017147E-06   3.163864E-09   1.870020E-04   9.866873E-16   1.000000E-02
   5.050000E+01   2.845345E-07   1.011135E-06   4.011188E-09   1.869991E-04   9.938229E-16   1.000000E-02
   5.150000E+01   1.898333E-07   1.007175E-06   4.678212E-09   1.869973E-04   9.967682E-16   1.000000E-02
   5.250000E+01   1.278363E-07   1.004589E-06   5.162730E-09   1.869962E-04   9.981787E-16   1.000000E-02
   5.350000E+01   8.761018E-08   1.002914E-06   5.497491E-09   1.869955E-04   9.989302E-16   1.000000E-02
   5.450000E+01   6.172830E-08   1.001837E-06   5.721332E-09   1.869950E-04   9.993584E-16   1.000000E-02
   5.550000E+01   4.520760E-08   1.001151E-06   5.867653E-09   1.869947E-04   9.996120E-16   1.000000E-02
   5.650000E+01   3.474189E-08   1.000716E-06   5.961726E-09   1.869946E-04   9.997655E-16   1.000000E-02
   5.750000E+01   2.815993E-08   1.000443E-06   6.021437E-09   1.869944E-04   9.998593E-16   1.000000E-02
   5.850000E+01   2.404929E-08   1.000272E-06   6.058942E-09   1.869944E-04   9.999169E-16   1.000000E-02
   5.950000E+01   2.149929E-08   1.000166E-06   6.082290E-09   1.869943E-04   9.999522E-16   1.000000E-02
   6.050000E+01   1.992766E-08   1.000101E-06   6.096712E-09   1.869943E-04   9.999739E-16   1.000000E-02
   6.150000E+01   1.896511E-08   1.000061E-06   6.105556E-09   1.869943E-04   9.999871E-16   1.000000E-02
   6.250000E+01   1.837917E-08   1.000037E-06   6.110944E-09   1.869943E-04   9.999951E-16   1.000000E-02
   6.350000E+01   1.802459E-08   1.000022E-06   6.114207E-09   1.869943E-04   9.999999E-16   1.000000E-02
   6.450000E+01   1.781123E-08   1.000013E-06   6.116170E-09   1.869943E-04   1.000003E-15   1.000000E-02
   6.550000E+01   1.768357E-08   1.000008E-06   6.117346E-09   1.869943E-04   1.000005E-15   1.000000E-02
   6.650000E+01   1.760759E-08   1.000004E-06   6.118045E-09   1.869943E-04   1.000006E-15   1.000000E-02
   6.750000E+01   1.756261E-08   1.000003E-06   6.118459E-09   1.869943E-04   1.000006E-15   1.000000E-02
   6.850000E+01   1.753611E-08   1.000002E-06   6.118703E-09   1.869943E-04   1.000007E-15   1.000000E-02
   6.950000E+01   1.752058E-08   1.000001E-06   6.118846E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.050000E+01   1.751152E-08   1.000001E-06   6.118930E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.150000E+01   1.750626E-08   1.000000E-06   6.118978E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.250000E+01   1.750322E-08   1.000000E-06   6.119006E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.350000E+01   1.750148E-08   1.000000E-06   6.119022E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.450000E+01   1.750047E-08   1.000000E-06   6.119031E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.550000E+01   1.749990E-08   1.000000E-06   6.119037E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.650000E+01   1.749958E-08   1.000000E-06   6.119040E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.750000E+01   1.749939E-08   1.000000E-06   6.119041E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.850000E+01   1.749929E-08   1.000000E-06   6.119042E-09   1.869943E-04   1.000007E-15   1.000000E-02
   7.950000E+01   1.749923E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.050000E+01   1.749920E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.150000E+01   1.749918E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.250000E+01   1.749917E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.350000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.450000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.550000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.650000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.750000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.850000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   8.950000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.050000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.150000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.250000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.350000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.450000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.550000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.650000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.750000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.850000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
   9.950000E+01   1.749916E-08   1.000000E-06   6.119043E-09   1.869943E-04   1.000007E-15   1.000000E-02
