# Time          1.0000E+00
# Units: Mol/kgw
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01   1.290694E-03   6.061902E-05   2.897539E-05   2.528638E-04   1.980053E-05   1.000000E-02
   1.500000E+00   1.290497E-03   6.061662E-05   2.904177E-05   2.529276E-04   1.979694E-05   1.000000E-02
   2.500000E+00   1.290300E-03   6.061436E-05   2.910816E-05   2.529914E-04   1.979354E-05   1.000000E-02
   3.500000E+00   1.290104E-03   6.061210E-05   2.917455E-05   2.530552E-04   1.979015E-05   1.000000E-02
   4.500000E+00   1.289907E-03   6.060984E-05   2.924093E-05   2.531190E-04   1.978676E-05   1.000000E-02
   5.500000E+00   1.289710E-03   6.060758E-05   2.930732E-05   2.531828E-04   1.978337E-05   1.000000E-02
   6.500000E+00   1.289513E-03   6.060532E-05   2.937371E-05   2.532465E-04   1.977998E-05   1.000000E-02
   7.500000E+00   1.289316E-03   6.060306E-05   2.944009E-05   2.533103E-04   1.977658E-05   1.000000E-02
   8.500000E+00   1.289119E-03   6.060080E-05   2.950648E-05   2.533741E-04   1.977319E-05   1.000000E-02
   9.500000E+00   1.288922E-03   6.059853E-05   2.957287E-05   2.534379E-04   1.976980E-05   1.000000E-02
   1.050000E+01   1.288725E-03   6.059627E-05   2.963926E-05   2.535017E-04   1.976641E-05   1.000000E-02
   1.150000E+01   1.288528E-03   6.059401E-05   2.970564E-05   2.535655E-04   1.976302E-05   1.000000E-02
   1.250000E+01   1.288331E-03   6.059175E-05   2.977203E-05   2.536292E-04   1.975963E-05   1.000000E-02
   1.350000E+01   1.288135E-03   6.058950E-05   2.983842E-05   2.536930E-04   1.975624E-05   1.000000E-02
   1.450000E+01   1.287938E-03   6.058728E-05   2.990480E-05   2.537568E-04   1.975284E-05   1.000000E-02
   1.550000E+01   1.287741E-03   6.058539E-05   2.997119E-05   2.538206E-04   1.974944E-05   1.000000E-02
   1.650000E+01   1.287544E-03   6.058572E-05   3.003758E-05   2.538844E-04   1.974596E-05   1.000000E-02
   1.750000E+01   1.287358E-03   6.058606E-05   3.010396E-05   2.539481E-04   1.972683E-05   1.000000E-02
   1.850000E+01   1.287209E-03   6.058639E-05   3.017035E-05   2.540119E-04   1.965257E-05   1.000000E-02
   1.950000E+01   1.287158E-03   6.058673E-05   3.023674E-05   2.540757E-04   1.942654E-05   1.000000E-02
