# Time          5.0000E-01
# Units: Mol/m^3 porous medium
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01  -5.625694E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.177014E-02   0.000000E+00
   1.500000E+00  -5.625670E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.177008E-02   0.000000E+00
   2.500000E+00  -5.625654E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.177002E-02   0.000000E+00
   3.500000E+00  -5.625637E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176997E-02   0.000000E+00
   4.500000E+00  -5.625620E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176991E-02   0.000000E+00
   5.500000E+00  -5.625604E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176986E-02   0.000000E+00
   6.500000E+00  -5.625587E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176980E-02   0.000000E+00
   7.500000E+00  -5.625569E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176974E-02   0.000000E+00
   8.500000E+00  -5.625526E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176965E-02   0.000000E+00
   9.500000E+00  -5.624265E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176796E-02   0.000000E+00
   1.050000E+01  -5.613552E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.175384E-02   0.000000E+00
   1.150000E+01  -5.529890E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.164344E-02   0.000000E+00
   1.250000E+01  -4.675690E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.047918E-02   0.000000E+00
   1.350000E+01  -9.069629E-04   0.000000E+00   0.000000E+00   0.000000E+00   3.358018E-03   0.000000E+00
   1.450000E+01  -4.053034E-05   0.000000E+00   0.000000E+00   0.000000E+00   1.906555E-04   0.000000E+00
   1.550000E+01  -1.537835E-06   0.000000E+00   0.000000E+00   0.000000E+00   7.329683E-06   0.000000E+00
   1.650000E+01  -5.782450E-08   0.000000E+00   0.000000E+00   0.000000E+00   2.757086E-07   0.000000E+00
   1.750000E+01  -2.188112E-09   0.000000E+00   0.000000E+00   0.000000E+00   1.043172E-08   0.000000E+00
   1.850000E+01  -1.049023E-10   0.000000E+00   0.000000E+00   0.000000E+00   5.000429E-10   0.000000E+00
   1.950000E+01  -2.724651E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.298557E-10   0.000000E+00
   2.050000E+01  -2.437040E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.161257E-10   0.000000E+00
   2.150000E+01  -2.427009E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156195E-10   0.000000E+00
   2.250000E+01  -2.427407E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156013E-10   0.000000E+00
   2.350000E+01  -2.428470E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156008E-10   0.000000E+00
   2.450000E+01  -2.430015E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156026E-10   0.000000E+00
   2.550000E+01  -2.432179E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156041E-10   0.000000E+00
   2.650000E+01  -2.435241E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156065E-10   0.000000E+00
   2.750000E+01  -2.439493E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156087E-10   0.000000E+00
   2.850000E+01  -2.445318E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156104E-10   0.000000E+00
   2.950000E+01  -2.453178E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156114E-10   0.000000E+00
   3.050000E+01  -2.463629E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156122E-10   0.000000E+00
   3.150000E+01  -2.477301E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156133E-10   0.000000E+00
   3.250000E+01  -2.494880E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156142E-10   0.000000E+00
   3.350000E+01  -2.517134E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156149E-10   0.000000E+00
   3.450000E+01  -2.544896E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156155E-10   0.000000E+00
   3.550000E+01  -2.579064E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156162E-10   0.000000E+00
   3.650000E+01  -2.620589E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156168E-10   0.000000E+00
   3.750000E+01  -2.670483E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156174E-10   0.000000E+00
   3.850000E+01  -2.729805E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156177E-10   0.000000E+00
   3.950000E+01  -2.799698E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156183E-10   0.000000E+00
   4.050000E+01  -2.881349E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156192E-10   0.000000E+00
   4.150000E+01  -2.976000E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156202E-10   0.000000E+00
   4.250000E+01  -3.084959E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156215E-10   0.000000E+00
   4.350000E+01  -3.209557E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156221E-10   0.000000E+00
   4.450000E+01  -3.351211E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156228E-10   0.000000E+00
   4.550000E+01  -3.511366E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156248E-10   0.000000E+00
   4.650000E+01  -3.691411E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156277E-10   0.000000E+00
   4.750000E+01  -3.892722E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156328E-10   0.000000E+00
   4.850000E+01  -4.116349E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156356E-10   0.000000E+00
   4.950000E+01  -4.363340E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156382E-10   0.000000E+00
   5.050000E+01  -4.634487E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156440E-10   0.000000E+00
   5.150000E+01  -4.929946E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156508E-10   0.000000E+00
   5.250000E+01  -5.249262E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156561E-10   0.000000E+00
   5.350000E+01  -5.591477E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156619E-10   0.000000E+00
   5.450000E+01  -5.954731E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156681E-10   0.000000E+00
   5.550000E+01  -6.336163E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156725E-10   0.000000E+00
   5.650000E+01  -6.732256E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156780E-10   0.000000E+00
   5.750000E+01  -7.138493E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156845E-10   0.000000E+00
   5.850000E+01  -7.549589E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156910E-10   0.000000E+00
   5.950000E+01  -7.959768E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156965E-10   0.000000E+00
   6.050000E+01  -8.363110E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.157000E-10   0.000000E+00
   6.150000E+01  -8.754178E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.157044E-10   0.000000E+00
   6.250000E+01  -9.127892E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.157086E-10   0.000000E+00
   6.350000E+01  -9.480178E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.157116E-10   0.000000E+00
