Observation Name, Region, Functional, Variable, Time, Value
===========================================================
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 1.3271562500000000e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 1.3271562500000000e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.9440000000000000e+03, 1.3271562477226546e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.2940000000000000e+03, 1.3271562377018949e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.9810000000000000e+03, 1.3271562002852585e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.0900000000000000e+03, 1.3271560838069553e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.7270000000000000e+03, 1.3271557674842773e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.3023000000000000e+04, 1.3271549992555447e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.7143000000000000e+04, 1.3271533033892941e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.2293000000000000e+04, 1.3271498666976762e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.8730000000000000e+04, 1.3271434326800781e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.6777000000000000e+04, 1.3271322529762343e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.6835000000000000e+04, 1.3271141681722654e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 5.9408000000000000e+04, 1.3270868259495276e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.5124000000000000e+04, 1.3270480255910945e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.4769000000000000e+04, 1.3269960570718693e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.1932500000000000e+05, 1.3269299645274207e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.5002100000000000e+05, 1.3268495118460990e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.8839000000000000e+05, 1.3267552071483363e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.3635200000000000e+05, 1.3266480553815614e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.9630400000000000e+05, 1.3265293684195313e+06
