Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar K]
============================================================================
obl 1, Obs_r24, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+00, 5.0658404641552579e-03
obl 1, Obs_r24, observation data: point, drawdown, 3.0000000000000000e+00, 2.3474044869814747e-02
obl 1, Obs_r24, observation data: point, drawdown, 7.0000000000000000e+00, 5.9792037484641014e-02
obl 1, Obs_r24, observation data: point, drawdown, 1.5000000000000000e+01, 1.0608791131487294e-01
obl 1, Obs_r24, observation data: point, drawdown, 3.1000000000000000e+01, 1.5667310986316352e-01
obl 1, Obs_r24, observation data: point, drawdown, 6.3000000000000000e+01, 2.0956793808930740e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.2700000000000000e+02, 2.6334155867283471e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.5500000000000000e+02, 3.1760752271424053e-01
obl 1, Obs_r24, observation data: point, drawdown, 5.1100000000000000e+02, 3.7194044549352157e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0230000000000000e+03, 4.2688570343415222e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.0470000000000000e+03, 4.8167230061164901e-01
obl 1, Obs_r24, observation data: point, drawdown, 4.0950000000000000e+03, 5.3633869146494817e-01
obl 1, Obs_r24, observation data: point, drawdown, 8.1910000000000000e+03, 5.9097513558020864e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.6383000000000000e+04, 6.4094615750379091e-01
obl 1, Obs_r24, observation data: point, drawdown, 3.2677000000000000e+04, 6.7369892849640678e-01
obl 1, Obs_r24, observation data: point, drawdown, 6.5535000000000000e+04, 6.8467233436444985e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.3107100000000000e+05, 6.8607174376509761e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.6214300000000000e+05, 6.8611679741280795e-01
obl 1, Obs_r24, observation data: point, drawdown, 5.2428700000000000e+05, 6.8611710273631843e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+06, 6.8611710314553420e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+07, 6.8611710315519758e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+08, 6.8611710315512653e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+09, 6.8611710315103380e-01
obl 2, Obs_r100, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+00, 1.3236555673756811e-07
obl 2, Obs_r100, observation data: point, drawdown, 3.0000000000000000e+00, 1.2869255215264275e-05
obl 2, Obs_r100, observation data: point, drawdown, 7.0000000000000000e+00, 1.3369101668558869e-04
obl 2, Obs_r100, observation data: point, drawdown, 1.5000000000000000e+01, 1.7571600328096793e-03
obl 2, Obs_r100, observation data: point, drawdown, 3.1000000000000000e+01, 9.8484111938006436e-03
obl 2, Obs_r100, observation data: point, drawdown, 6.3000000000000000e+01, 2.9932212544579784e-02
obl 2, Obs_r100, observation data: point, drawdown, 1.2700000000000000e+02, 6.2670234865805696e-02
obl 2, Obs_r100, observation data: point, drawdown, 2.5500000000000000e+02, 1.0485571746355049e-01
obl 2, Obs_r100, observation data: point, drawdown, 5.1100000000000000e+02, 1.5271589157643461e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0230000000000000e+03, 2.0424625092468318e-01
obl 2, Obs_r100, observation data: point, drawdown, 2.0470000000000000e+03, 2.5731029296234453e-01
obl 2, Obs_r100, observation data: point, drawdown, 4.0950000000000000e+03, 3.1112507794347266e-01
obl 2, Obs_r100, observation data: point, drawdown, 8.1910000000000000e+03, 3.6540313155737181e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.6383000000000000e+04, 4.1529247667250502e-01
obl 2, Obs_r100, observation data: point, drawdown, 3.2677000000000000e+04, 4.4803863656916576e-01
obl 2, Obs_r100, observation data: point, drawdown, 6.5535000000000000e+04, 4.5901190482820198e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.3107100000000000e+05, 4.6041131363612919e-01
obl 2, Obs_r100, observation data: point, drawdown, 2.6214300000000000e+05, 4.6045636727565409e-01
obl 2, Obs_r100, observation data: point, drawdown, 5.2428700000000000e+05, 4.6045667260607104e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+06, 4.6045667300094806e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+07, 4.6045667302395543e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+08, 4.6045667302304594e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+09, 4.6045667300975879e-01
