Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar]
============================================================================
obl 1, Obs_r24, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+00, 5.0658404574193128e-03
obl 1, Obs_r24, observation data: point, drawdown, 3.0000000000000000e+00, 2.3474044854822296e-02
obl 1, Obs_r24, observation data: point, drawdown, 7.0000000000000000e+00, 5.9792037452766067e-02
obl 1, Obs_r24, observation data: point, drawdown, 1.5000000000000000e+01, 1.0608791125156358e-01
obl 1, Obs_r24, observation data: point, drawdown, 3.1000000000000000e+01, 1.5667310973863380e-01
obl 1, Obs_r24, observation data: point, drawdown, 6.3000000000000000e+01, 2.0956793782474392e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.2700000000000000e+02, 2.6334155812057247e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.5500000000000000e+02, 3.1760752156324656e-01
obl 1, Obs_r24, observation data: point, drawdown, 5.1100000000000000e+02, 3.7194044317679698e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0230000000000000e+03, 4.2688569890424333e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.0470000000000000e+03, 4.8167229211078677e-01
obl 1, Obs_r24, observation data: point, drawdown, 4.0950000000000000e+03, 5.3633867658270162e-01
obl 1, Obs_r24, observation data: point, drawdown, 8.1910000000000000e+03, 5.9097511146276815e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.6383000000000000e+04, 6.4094612250423211e-01
obl 1, Obs_r24, observation data: point, drawdown, 3.2677000000000000e+04, 6.7369888505572817e-01
obl 1, Obs_r24, observation data: point, drawdown, 6.5535000000000000e+04, 6.8467228810027336e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.3107100000000000e+05, 6.8607169722450578e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.6214300000000000e+05, 6.8611675094756208e-01
obl 1, Obs_r24, observation data: point, drawdown, 5.2428700000000000e+05, 6.8611705616504537e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+06, 6.8611705652617161e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+07, 6.8611705658472033e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+08, 6.8611705649888677e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+09, 6.8611705667315448e-01
obl 2, Obs_r100, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+00, 1.3235762708063703e-07
obl 2, Obs_r100, observation data: point, drawdown, 3.0000000000000000e+00, 1.2869234979007160e-05
obl 2, Obs_r100, observation data: point, drawdown, 7.0000000000000000e+00, 1.3369097506199523e-04
obl 2, Obs_r100, observation data: point, drawdown, 1.5000000000000000e+01, 1.7571599503583002e-03
obl 2, Obs_r100, observation data: point, drawdown, 3.1000000000000000e+01, 9.8484110375522960e-03
obl 2, Obs_r100, observation data: point, drawdown, 6.3000000000000000e+01, 2.9932212252887780e-02
obl 2, Obs_r100, observation data: point, drawdown, 1.2700000000000000e+02, 6.2670234295225669e-02
obl 2, Obs_r100, observation data: point, drawdown, 2.5500000000000000e+02, 1.0485571632949586e-01
obl 2, Obs_r100, observation data: point, drawdown, 5.1100000000000000e+02, 1.5271588930733060e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0230000000000000e+03, 2.0424624649490397e-01
obl 2, Obs_r100, observation data: point, drawdown, 2.0470000000000000e+03, 2.5731028474727680e-01
obl 2, Obs_r100, observation data: point, drawdown, 4.0950000000000000e+03, 3.1112506370101300e-01
obl 2, Obs_r100, observation data: point, drawdown, 8.1910000000000000e+03, 3.6540310843297164e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.6383000000000000e+04, 4.1529244274906318e-01
obl 2, Obs_r100, observation data: point, drawdown, 3.2677000000000000e+04, 4.4803859418186676e-01
obl 2, Obs_r100, observation data: point, drawdown, 6.5535000000000000e+04, 4.5901185960943280e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.3107100000000000e+05, 4.6041126814091626e-01
obl 2, Obs_r100, observation data: point, drawdown, 2.6214300000000000e+05, 4.6045632186446994e-01
obl 2, Obs_r100, observation data: point, drawdown, 5.2428700000000000e+05, 4.6045662707581414e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+06, 4.6045662743904359e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+07, 4.6045662751131999e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+08, 4.6045662741914839e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+09, 4.6045662759668460e-01
