Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar K]
============================================================================
obl 1, Obs1, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 1, Obs1, observation data: point, drawdown, 1.0000000000000000e+00, 4.9737991503207013e-13
obl 1, Obs1, observation data: point, drawdown, 3.0000000000000000e+00, 2.0179413695586845e-12
obl 1, Obs1, observation data: point, drawdown, 7.0000000000000000e+00, 3.0127011996228248e-12
obl 1, Obs1, observation data: point, drawdown, 1.5000000000000000e+01, 5.0306425691815093e-12
obl 1, Obs1, observation data: point, drawdown, 3.1000000000000000e+01, 1.3571366253017914e-11
obl 1, Obs1, observation data: point, drawdown, 6.3000000000000000e+01, 3.3030289614544017e-09
obl 1, Obs1, observation data: point, drawdown, 1.2700000000000000e+02, 8.9613311615721614e-07
obl 1, Obs1, observation data: point, drawdown, 2.5500000000000000e+02, 5.3144018266948478e-05
obl 1, Obs1, observation data: point, drawdown, 5.1100000000000000e+02, 9.7186654267034100e-04
obl 1, Obs1, observation data: point, drawdown, 1.0230000000000000e+03, 6.8894109276698146e-03
obl 1, Obs1, observation data: point, drawdown, 2.0470000000000000e+03, 2.5518383596434546e-02
obl 1, Obs1, observation data: point, drawdown, 4.0950000000000000e+03, 5.9313170137485827e-02
obl 1, Obs1, observation data: point, drawdown, 8.1910000000000000e+03, 1.0376645025399966e-01
obl 1, Obs1, observation data: point, drawdown, 1.6383000000000000e+04, 1.5370290696193933e-01
obl 1, Obs1, observation data: point, drawdown, 3.2677000000000000e+04, 2.0621252125194189e-01
obl 1, Obs1, observation data: point, drawdown, 6.5535000000000000e+04, 2.6035786680493800e-01
obl 1, Obs1, observation data: point, drawdown, 1.3107100000000000e+05, 3.1554910115646351e-01
obl 1, Obs1, observation data: point, drawdown, 2.6214300000000000e+05, 3.7054245501413163e-01
obl 1, Obs1, observation data: point, drawdown, 5.2428700000000000e+05, 4.2167574207945790e-01
obl 1, Obs1, observation data: point, drawdown, 1.0000000000000000e+06, 4.5624385193453065e-01
obl 1, Obs1, observation data: point, drawdown, 1.0000000000000000e+07, 4.7306095003621351e-01
obl 1, Obs1, observation data: point, drawdown, 1.0000000000000000e+08, 4.7306119363263122e-01
obl 1, Obs1, observation data: point, drawdown, 1.0000000000000000e+09, 4.7306114808904454e-01
obl 2, Obs2, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 2, Obs2, observation data: point, drawdown, 1.0000000000000000e+00, -9.9655892754037136e-13
obl 2, Obs2, observation data: point, drawdown, 3.0000000000000000e+00, -2.3995420500974046e-12
obl 2, Obs2, observation data: point, drawdown, 7.0000000000000000e+00, -1.0532451143103524e-12
obl 2, Obs2, observation data: point, drawdown, 1.5000000000000000e+01, -4.5961317874341745e-12
obl 2, Obs2, observation data: point, drawdown, 3.1000000000000000e+01, -1.1582704306834354e-11
obl 2, Obs2, observation data: point, drawdown, 6.3000000000000000e+01, -2.0877680228625085e-12
obl 2, Obs2, observation data: point, drawdown, 1.2700000000000000e+02, 2.4222938378235589e-08
obl 2, Obs2, observation data: point, drawdown, 2.5500000000000000e+02, 3.9790165707250273e-06
obl 2, Obs2, observation data: point, drawdown, 5.1100000000000000e+02, 1.4549228178425204e-04
obl 2, Obs2, observation data: point, drawdown, 1.0230000000000000e+03, 1.6254064269097235e-03
obl 2, Obs2, observation data: point, drawdown, 2.0470000000000000e+03, 8.6379989320289601e-03
obl 2, Obs2, observation data: point, drawdown, 4.0950000000000000e+03, 2.6683732824933123e-02
obl 2, Obs2, observation data: point, drawdown, 8.1910000000000000e+03, 5.7653924850717624e-02
obl 2, Obs2, observation data: point, drawdown, 1.6383000000000000e+04, 9.8907846516910786e-02
obl 2, Obs2, observation data: point, drawdown, 3.2677000000000000e+04, 1.4652362455438686e-01
obl 2, Obs2, observation data: point, drawdown, 6.5535000000000000e+04, 1.9806106138195617e-01
obl 2, Obs2, observation data: point, drawdown, 1.3107100000000000e+05, 2.5189182875364002e-01
obl 2, Obs2, observation data: point, drawdown, 2.6214300000000000e+05, 3.0620530008112679e-01
obl 2, Obs2, observation data: point, drawdown, 5.2428700000000000e+05, 3.5701244615148947e-01
obl 2, Obs2, observation data: point, drawdown, 1.0000000000000000e+06, 3.9145065177266297e-01
obl 2, Obs2, observation data: point, drawdown, 1.0000000000000000e+07, 4.0822212823786025e-01
obl 2, Obs2, observation data: point, drawdown, 1.0000000000000000e+08, 4.0822237129874839e-01
obl 2, Obs2, observation data: point, drawdown, 1.0000000000000000e+09, 4.0822232136473674e-01
