Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar K]
============================================================================
obl 1, Obs_r24, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+00, 8.3030690352927650e-03
obl 1, Obs_r24, observation data: point, drawdown, 3.0000000000000000e+00, 3.7332687991224134e-02
obl 1, Obs_r24, observation data: point, drawdown, 7.0000000000000000e+00, 8.8097030589665337e-02
obl 1, Obs_r24, observation data: point, drawdown, 1.5000000000000000e+01, 1.3161775975717660e-01
obl 1, Obs_r24, observation data: point, drawdown, 3.1000000000000000e+01, 1.6009307163156450e-01
obl 1, Obs_r24, observation data: point, drawdown, 6.3000000000000000e+01, 1.7967929732944299e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.2700000000000000e+02, 1.9505381244321995e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.5500000000000000e+02, 2.0845279653589444e-01
obl 1, Obs_r24, observation data: point, drawdown, 5.1100000000000000e+02, 2.2077402605509633e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0230000000000000e+03, 2.3257442662510641e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.0470000000000000e+03, 2.4319898853057964e-01
obl 1, Obs_r24, observation data: point, drawdown, 4.0950000000000000e+03, 2.5038957181506305e-01
obl 1, Obs_r24, observation data: point, drawdown, 8.1910000000000000e+03, 2.5307747803203995e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.6383000000000000e+04, 2.5348780164013363e-01
obl 1, Obs_r24, observation data: point, drawdown, 3.2677000000000000e+04, 2.5351003028092123e-01
obl 1, Obs_r24, observation data: point, drawdown, 6.5535000000000000e+04, 2.5351039545974174e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.3107100000000000e+05, 2.5351039702589162e-01
obl 1, Obs_r24, observation data: point, drawdown, 2.6214300000000000e+05, 2.5351039700807121e-01
obl 1, Obs_r24, observation data: point, drawdown, 5.2428700000000000e+05, 2.5351039706376355e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+06, 2.5351039701179445e-01
obl 1, Obs_r24, observation data: point, drawdown, 1.0000000000000000e+07, 2.5351039702333367e-01
obl 2, Obs_r100, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+00, 2.1405290340226202e-07
obl 2, Obs_r100, observation data: point, drawdown, 3.0000000000000000e+00, 2.0108260358142616e-05
obl 2, Obs_r100, observation data: point, drawdown, 7.0000000000000000e+00, 2.0521177798116241e-04
obl 2, Obs_r100, observation data: point, drawdown, 1.5000000000000000e+01, 2.3814382675766410e-03
obl 2, Obs_r100, observation data: point, drawdown, 3.1000000000000000e+01, 1.0766664121490521e-02
obl 2, Obs_r100, observation data: point, drawdown, 6.3000000000000000e+01, 2.5570462649938008e-02
obl 2, Obs_r100, observation data: point, drawdown, 1.2700000000000000e+02, 4.2529836702271950e-02
obl 2, Obs_r100, observation data: point, drawdown, 2.5500000000000000e+02, 5.8870007091826437e-02
obl 2, Obs_r100, observation data: point, drawdown, 5.1100000000000000e+02, 7.3849829187878413e-02
obl 2, Obs_r100, observation data: point, drawdown, 1.0230000000000000e+03, 8.7760179698065599e-02
obl 2, Obs_r100, observation data: point, drawdown, 2.0470000000000000e+03, 1.0014522800204873e-01
obl 2, Obs_r100, observation data: point, drawdown, 4.0950000000000000e+03, 1.0906888477073551e-01
obl 2, Obs_r100, observation data: point, drawdown, 8.1910000000000000e+03, 1.1298666869178930e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.6383000000000000e+04, 1.1376026692718710e-01
obl 2, Obs_r100, observation data: point, drawdown, 3.2677000000000000e+04, 1.1381561733118417e-01
obl 2, Obs_r100, observation data: point, drawdown, 6.5535000000000000e+04, 1.1381671727566811e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.3107100000000000e+05, 1.1381672220913686e-01
obl 2, Obs_r100, observation data: point, drawdown, 2.6214300000000000e+05, 1.1381672219997085e-01
obl 2, Obs_r100, observation data: point, drawdown, 5.2428700000000000e+05, 1.1381672225721218e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+06, 1.1381672220764472e-01
obl 2, Obs_r100, observation data: point, drawdown, 1.0000000000000000e+07, 1.1381672221041583e-01
