Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar K]
============================================================================
obl 1, Obs_x, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 1, Obs_x, observation data: point, drawdown, 1.7280000000000001e+02, 5.1201061300231415e-02
obl 1, Obs_x, observation data: point, drawdown, 3.4560000000000002e+02, 1.6009724881341794e-01
obl 1, Obs_x, observation data: point, drawdown, 5.1839999999999998e+02, 2.5834235282742302e-01
obl 1, Obs_x, observation data: point, drawdown, 7.7760000000000002e+02, 3.7818419967795014e-01
obl 1, Obs_x, observation data: point, drawdown, 1.2095999999999999e+03, 5.2821323458801894e-01
obl 1, Obs_x, observation data: point, drawdown, 1.7280000000000000e+03, 6.6029918146088917e-01
obl 1, Obs_x, observation data: point, drawdown, 2.4191999999999998e+03, 7.9152943172239765e-01
obl 1, Obs_x, observation data: point, drawdown, 3.1968000000000002e+03, 9.0368877157172955e-01
obl 1, Obs_x, observation data: point, drawdown, 4.3200000000000000e+03, 1.0279104418814804e+00
obl 1, Obs_x, observation data: point, drawdown, 5.7888000000000002e+03, 1.1502190703884787e+00
obl 1, Obs_x, observation data: point, drawdown, 7.6896000000000004e+03, 1.2705870973469378e+00
obl 1, Obs_x, observation data: point, drawdown, 1.0022000000000000e+04, 1.3840785017881256e+00
obl 1, Obs_x, observation data: point, drawdown, 1.3306000000000000e+04, 1.5061417395047778e+00
obl 1, Obs_x, observation data: point, drawdown, 1.7539000000000000e+04, 1.6258202706920564e+00
obl 1, Obs_x, observation data: point, drawdown, 2.2896000000000000e+04, 1.7417911721632908e+00
obl 1, Obs_x, observation data: point, drawdown, 3.0067000000000000e+04, 1.8606284393358197e+00
obl 1, Obs_x, observation data: point, drawdown, 3.9053000000000000e+04, 1.9749215395096131e+00
obl 1, Obs_x, observation data: point, drawdown, 5.0026000000000000e+04, 2.0835886096771201e+00
obl 1, Obs_x, observation data: point, drawdown, 6.6010000000000000e+04, 2.2049388186764922e+00
obl 1, Obs_x, observation data: point, drawdown, 8.6400000000000000e+04, 2.3223232185872580e+00
obl 2, Obs_y, observation data: point, drawdown, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 2, Obs_y, observation data: point, drawdown, 1.7280000000000001e+02, 4.7344243970627088e-07
obl 2, Obs_y, observation data: point, drawdown, 3.4560000000000002e+02, 1.0562006600732739e-04
obl 2, Obs_y, observation data: point, drawdown, 5.1839999999999998e+02, 9.7048629135142129e-04
obl 2, Obs_y, observation data: point, drawdown, 7.7760000000000002e+02, 5.3476879038302184e-03
obl 2, Obs_y, observation data: point, drawdown, 1.2095999999999999e+03, 2.1279842856530458e-02
obl 2, Obs_y, observation data: point, drawdown, 1.7280000000000000e+03, 4.9510411255672702e-02
obl 2, Obs_y, observation data: point, drawdown, 2.4191999999999998e+03, 9.2991538956219560e-02
obl 2, Obs_y, observation data: point, drawdown, 3.1968000000000002e+03, 1.4256882727230979e-01
obl 2, Obs_y, observation data: point, drawdown, 4.3200000000000000e+03, 2.0974247703456575e-01
obl 2, Obs_y, observation data: point, drawdown, 5.7888000000000002e+03, 2.8724897280514516e-01
