Observation Name, Region, Functional, Variable, Time, Value
===========================================================
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 0.0000000000000000e+00, 5.0008535015508633e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 1.7280000000000001e+02, 4.9488230909469362e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 3.4560000000000002e+02, 4.8417670552858674e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 5.1839999999999998e+02, 4.7457149409016903e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 7.7760000000000002e+02, 4.6266097292328521e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 1.2095999999999999e+03, 4.4802711026017095e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 1.7280000000000000e+03, 4.3491625823003828e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 2.4191999999999998e+03, 4.2185884272189913e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 3.1968000000000002e+03, 4.1055396925987013e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 4.3200000000000000e+03, 3.9814694847522887e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 5.7888000000000002e+03, 3.8586965123866417e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 7.6896000000000004e+03, 3.7380118891444862e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 1.0022000000000000e+04, 3.6288794833585252e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 1.3306000000000000e+04, 3.5049948862500204e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 1.7539000000000000e+04, 3.3893519775043974e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 2.2896000000000000e+04, 3.2705529133259641e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 3.0067000000000000e+04, 3.1551845298993357e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 3.9053000000000000e+04, 3.0426955264340068e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 5.0026000000000000e+04, 2.9349735637084682e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 6.6010000000000000e+04, 2.8095901892420683e+00
Pressure 01, Obs_x, Observation Data: Point, Hydraulic Head, 8.6400000000000000e+04, 2.6898012389053578e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 0.0000000000000000e+00, 5.0008535015508633e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 1.7280000000000001e+02, 5.0008519841659389e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 3.4560000000000002e+02, 5.0006869665640874e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 5.1839999999999998e+02, 4.9995290976947837e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 7.7760000000000002e+02, 4.9948270432722861e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 1.2095999999999999e+03, 4.9781373556651314e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 1.7280000000000000e+03, 4.9502342212149095e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 2.4191999999999998e+03, 4.9077298646151561e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 3.1968000000000002e+03, 4.8591742258426294e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 4.3200000000000000e+03, 4.7932399161384360e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 5.7888000000000002e+03, 4.7167024274855311e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 7.6896000000000004e+03, 4.6321241713279537e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 1.0022000000000000e+04, 4.5481994524136073e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 1.3306000000000000e+04, 4.4478990766160216e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 1.7539000000000000e+04, 4.3487244356699737e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 2.2896000000000000e+04, 4.2437943736061428e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 3.0067000000000000e+04, 4.1383987231317736e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 3.9053000000000000e+04, 4.0336056629874122e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 5.0026000000000000e+04, 3.9317292517416531e+00
Pressure 02, Obs_y, Observation Data: Point, Hydraulic Head, 6.6010000000000000e+04, 3.8117788415703950e+00
