Observation Name, Region, Functional, Variable, Time [s], Value [kg m SI K]
============================================================================
obl 1, Origin, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.4330701422124969e-03
obl 2, Upwind210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.4420556580882277e-09
obl 3, Upwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.9495285222624905e-08
obl 4, Upwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4237120733660259e-06
obl 5, Upwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 5.1184514518697548e-05
obl 6, Dnwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.0677282253189036e-04
obl 7, Dnwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.3288189794335074e-04
obl 8, Dnwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.6287726914623271e-04
obl 9, Dnstrm210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.2037783463625679e-04
obl 10, Dnstrm270, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.8644327574852843e-04
obl 11, Dnstrm330, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.5291910904631663e-04
obl 12, Dnstrm390, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.1708733794140523e-04
obl 13, Dnstrm450, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.0926388131106333e-05
obl 14, Dnstrm510, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.9157220233021311e-05
obl 15, Dnstrm570, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.5747756659884738e-05
obl 16, Dnstrm630, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.1489758684176716e-05
obl 17, Dnstrm690, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.3400206497287615e-06
obl 18, Dnstrm750, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3845030039220992e-06
obl 19, Dnstrm810, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.7329151157793810e-07
obl 20, Dnstrm870, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.5337211535460271e-08
obl 21, Dnstrm930, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7186797636152017e-08
obl 22, Cross0030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.1804441791670811e-05
obl 23, Cross0060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7691062543895929e-05
obl 24, Cross0090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.5533976183196793e-06
obl 25, Cross0120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.7569887798666802e-07
obl 26, Cross0150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7219766337479290e-07
obl 27, Cross0180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.7814093878524220e-08
obl 28, Cross0210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.0220982783586330e-09
obl 29, Cross0240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.6030658153603904e-09
obl 30, Crossb030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3122817110957009e-05
obl 31, Crossb060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.1876164912776072e-05
obl 32, Crossb090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.0924722942072318e-04
obl 33, Crossb120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.0879181921122311e-04
obl 34, Crossb150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.6287726914623271e-04
obl 35, Crossb180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.0879181921122311e-04
obl 36, Crossb210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.0924722942072290e-04
obl 37, Crossb240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.1876164912775957e-05
