Observation Name, Region, Functional, Variable, Time [s], Value [kg m SI K]
============================================================================
obl 1, Origin, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.1708406894749696e-03
obl 2, Upwind210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.4917618743604679e-10
obl 3, Upwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.7251658268713611e-08
obl 4, Upwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.7687175596869055e-07
obl 5, Upwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.6110724925756316e-05
obl 6, Dnwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.0242636632449095e-04
obl 7, Dnwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.2920597877140214e-04
obl 8, Dnwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.5698982494007740e-04
obl 9, Dnstrm210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.0895127247498682e-04
obl 10, Dnstrm270, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.6850285256742871e-04
obl 11, Dnstrm330, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.2552049717974751e-04
obl 12, Dnstrm390, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7439173853477438e-04
obl 13, Dnstrm450, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.1913381670335094e-04
obl 14, Dnstrm510, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.9273009790226896e-05
obl 15, Dnstrm570, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.3402002850923751e-05
obl 16, Dnstrm630, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3149003664762523e-05
obl 17, Dnstrm690, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.1977889021598305e-06
obl 18, Dnstrm750, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.0866363025081260e-06
obl 19, Dnstrm810, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.2909013675913950e-07
obl 20, Dnstrm870, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.9631568955913145e-08
obl 21, Dnstrm930, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 5.7630782416140655e-09
obl 22, Cross0030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.7172587157515804e-05
obl 23, Cross0060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.2784402761598698e-06
obl 24, Cross0090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.9279175595113446e-07
obl 25, Cross0120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.3817337573090637e-08
obl 26, Cross0150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.8630731420373738e-09
obl 27, Cross0180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.7246496721499391e-10
obl 28, Cross0210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 8.5056219303855037e-11
obl 29, Cross0240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.4125781671464418e-12
obl 30, Crossb030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.2199501371290927e-06
obl 31, Crossb060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4862867125120398e-05
obl 32, Crossb090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.5741244077772525e-05
obl 33, Crossb120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.3923657786990876e-04
obl 34, Crossb150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.5698982494007740e-04
obl 35, Crossb180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.3923275858284726e-04
obl 36, Crossb210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.5752996677089414e-05
obl 37, Crossb240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4875395018123609e-05
