Observation Name, Region, Functional, Variable, Time [s], Value [kg m SI K]
============================================================================
obl 1, Origin, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.0923297723034300e-03
obl 2, Upwind210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.5887785563318111e-07
obl 3, Upwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.5647420878029321e-06
obl 4, Upwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.6461448258610237e-05
obl 5, Upwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.9972670375806821e-04
obl 6, Dnwind030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.3263146947794888e-04
obl 7, Dnwind090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 5.8585050426192622e-04
obl 8, Dnwind150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.6712954061222376e-04
obl 9, Dnstrm210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.9725273525423283e-04
obl 10, Dnstrm270, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.4827346018129115e-04
obl 11, Dnstrm330, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.0876667620190814e-04
obl 12, Dnstrm390, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.7283648685303319e-04
obl 13, Dnstrm450, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.3720401214784824e-04
obl 14, Dnstrm510, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.0046768074009601e-04
obl 15, Dnstrm570, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.6287778644872116e-04
obl 16, Dnstrm630, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.2599172931873406e-04
obl 17, Dnstrm690, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 9.2026118708677480e-05
obl 18, Dnstrm750, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.3046214376476131e-05
obl 19, Dnstrm810, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 4.0299247740970454e-05
obl 20, Dnstrm870, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.3956631147485673e-05
obl 21, Dnstrm930, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3552523030945023e-05
obl 22, Cross0030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.7511437757591840e-04
obl 23, Cross0060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.6834485743785551e-05
obl 24, Cross0090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 5.9455601080415478e-06
obl 25, Cross0120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.3417700301883599e-06
obl 26, Cross0150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.0495122424672739e-07
obl 27, Cross0180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 6.8228163028901124e-08
obl 28, Cross0210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4735986642777959e-08
obl 29, Cross0240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.0587872020226157e-09
obl 30, Crossb030, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.2058101627804626e-04
obl 31, Crossb060, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.4545915921542350e-04
obl 32, Crossb090, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 7.5830606104485189e-05
obl 33, Crossb120, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.2469738977956102e-05
obl 34, Crossb150, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.1778578474030545e-05
obl 35, Crossb180, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 3.6997514146871494e-06
obl 36, Crossb210, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 1.0213813641287996e-06
obl 37, Crossb240, observation data: point, Tc-99 aqueous concentration, 1.2096000000000000e+08, 2.5405969216693355e-07
