Observation Name, Region, Functional, Variable, Time [y], Value [kg m molar K]
============================================================================
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9999999999999998e+00, 9.2388747993378631e-12
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.9999999999999996e+00, 5.8798840161755837e-10
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.9999999999999991e+00, 8.6470440915645896e-09
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.9999999999999991e+00, 6.3382268057560571e-08
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.9999999999999982e+00, 3.0825318469092274e-07
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1999999999999998e+01, 1.1435381587976974e-06
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3999999999999998e+01, 3.4991140097551743e-06
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5999999999999998e+01, 9.2664188150355687e-06
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8000000000000000e+01, 2.1920644640103180e-05
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9999999999999996e+01, 4.7349127052430998e-05
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.1999999999999996e+01, 9.4880876217459076e-05
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.3999999999999996e+01, 1.7848743102803842e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.5999999999999996e+01, 3.1809957585896193e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.7999999999999996e+01, 5.4096104066120049e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.9999999999999996e+01, 8.8292201823552481e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.1999999999999996e+01, 1.3895645220947344e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.4000000000000000e+01, 2.1170497847847682e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.6000000000000000e+01, 3.1325855933642338e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.7999999999999993e+01, 4.5144282192749576e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.9999999999999993e+01, 6.3513580800129430e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.1999999999999993e+01, 8.7415984299483059e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.3999999999999993e+01, 1.1791179730255529e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.5999999999999993e+01, 1.5611786227569747e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.7999999999999993e+01, 2.0318153093469425e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.9999999999999993e+01, 2.6025109962624308e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.1999999999999993e+01, 3.2844388052068955e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.3999999999999993e+01, 4.0881322026285825e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.5999999999999993e+01, 5.0231583798513758e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.7999999999999993e+01, 6.0978083546284867e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.9999999999999993e+01, 7.3188163935788669e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.1999999999999993e+01, 8.6911197911386878e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.3999999999999993e+01, 1.0217667975637092e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.6000000000000000e+01, 1.1899287500764202e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.8000000000000000e+01, 1.3734606881706954e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.0000000000000000e+01, 1.5720042605512582e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.2000000000000000e+01, 1.7849845126474639e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.4000000000000000e+01, 2.0116201369419037e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.5999999999999986e+01, 2.2509388301022823e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.7999999999999986e+01, 2.5017970556375796e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.9999999999999986e+01, 2.7629033962294902e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.1999999999999986e+01, 3.0328446089887284e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.3999999999999986e+01, 3.3101134682847244e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.5999999999999986e+01, 3.5931374911477643e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.7999999999999986e+01, 3.8803076847040568e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.9999999999999986e+01, 4.1700065278094811e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.1999999999999986e+01, 4.4606344935725728e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.3999999999999986e+01, 4.7506345292252450e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.5999999999999986e+01, 5.0385140284454832e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.7999999999999986e+01, 5.3228639528853949e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.9999999999999986e+01, 5.6023748791377681e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0199999999999999e+02, 5.8758498603548492e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0399999999999999e+02, 6.1422140947915271e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0599999999999999e+02, 6.4005214841843527e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0799999999999999e+02, 6.6499582414863667e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0999999999999999e+02, 6.8898437692552295e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1199999999999999e+02, 7.1196290768568449e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1399999999999999e+02, 7.3388930371070471e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1599999999999999e+02, 7.5473368020223641e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1799999999999999e+02, 7.7447767043209048e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1999999999999999e+02, 7.9311359677885451e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2199999999999999e+02, 8.1064355373037578e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2399999999999999e+02, 8.2707843199459252e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2599999999999999e+02, 8.4243691039046364e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2799999999999999e+02, 8.5674443934713107e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3000000000000000e+02, 8.7003223677002528e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3200000000000000e+02, 8.8233631386690681e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3400000000000000e+02, 8.9369654537585774e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3600000000000000e+02, 9.0415579559167525e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3800000000000000e+02, 9.1375910871919708e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4000000000000000e+02, 9.2255296944464238e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4200000000000000e+02, 9.3058463724761187e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4400000000000000e+02, 9.3790155589402979e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4600000000000000e+02, 9.4455083776957893e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4800000000000000e+02, 9.5057882122560233e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5000000000000000e+02, 9.5603069790833628e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5199999999999997e+02, 9.6095020610881188e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5399999999999997e+02, 9.6537938548316993e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5599999999999997e+02, 9.6935838802634289e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5799999999999997e+02, 9.7292533990859076e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5999999999999997e+02, 9.7611624867754987e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6199999999999997e+02, 9.7896495036051934e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6399999999999997e+02, 9.8150309114731871e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6599999999999997e+02, 9.8376013856879119e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6799999999999997e+02, 9.8576341738822204e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6999999999999997e+02, 9.8753816577280529e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7199999999999997e+02, 9.8910760769287620e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7399999999999997e+02, 9.9049303789323484e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7599999999999997e+02, 9.9171391618133498e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7799999999999997e+02, 9.9278796817159798e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7999999999999997e+02, 9.9373129000548888e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8199999999999997e+02, 9.9455845492777639e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8399999999999997e+02, 9.9528261993579292e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8599999999999997e+02, 9.9591563102819369e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8799999999999997e+02, 9.9646812586066147e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8999999999999997e+02, 9.9694963286776839e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9199999999999997e+02, 9.9736866613323860e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9399999999999997e+02, 9.9773281548558235e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9599999999999997e+02, 9.9804883146418033e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9799999999999997e+02, 9.9832270494410558e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9999999999999997e+02, 9.9855974132783565e-01
