Observation Name, Region, Functional, Variable, Time [y], Value [kg m molar]
============================================================================
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 0.0000000000000000e+00, 0.0000000000000000e+00
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9999999999999998e+00, 9.2388745933513565e-12
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.9999999999999996e+00, 5.8798839765344128e-10
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.9999999999999991e+00, 8.6470441196327650e-09
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.9999999999999991e+00, 6.3382268619423082e-08
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.9999999999999982e+00, 3.0825318847126933e-07
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1999999999999998e+01, 1.1435381753395520e-06
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3999999999999998e+01, 3.4991140656334123e-06
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5999999999999998e+01, 9.2664189729133977e-06
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8000000000000000e+01, 2.1920645030704336e-05
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9999999999999996e+01, 4.7349127923744843e-05
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.1999999999999996e+01, 9.4880878005291030e-05
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.3999999999999996e+01, 1.7848743445124241e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.5999999999999996e+01, 3.1809958204136055e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.7999999999999996e+01, 5.4096105128035698e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 2.9999999999999996e+01, 8.8292203569633018e-04
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.1999999999999996e+01, 1.3895645497234326e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.4000000000000000e+01, 2.1170498270366572e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.6000000000000000e+01, 3.1325856560362846e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.7999999999999993e+01, 4.5144283097128543e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 3.9999999999999993e+01, 6.3513582073012609e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.1999999999999993e+01, 8.7415986050718136e-03
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.3999999999999993e+01, 1.1791179966220850e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.5999999999999993e+01, 1.5611786539476920e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.7999999999999993e+01, 2.0318153498525234e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 4.9999999999999993e+01, 2.6025110480091828e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.1999999999999993e+01, 3.2844388703150700e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.3999999999999993e+01, 4.0881322833939242e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.5999999999999993e+01, 5.0231584787204277e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.7999999999999993e+01, 6.0978084741679969e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 5.9999999999999993e+01, 7.3188165364402896e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.1999999999999993e+01, 8.6911199600188227e-02
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.3999999999999993e+01, 1.0217668173235953e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.6000000000000000e+01, 1.1899287729741433e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 6.8000000000000000e+01, 1.3734607144638425e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.0000000000000000e+01, 1.5720042904847736e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.2000000000000000e+01, 1.7849845464496644e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.4000000000000000e+01, 2.0116201748207974e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.5999999999999986e+01, 2.2509388722424051e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.7999999999999986e+01, 2.5017971021972535e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 7.9999999999999986e+01, 2.7629034473387182e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.1999999999999986e+01, 3.0328446647476831e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.3999999999999986e+01, 3.3101135287628358e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.5999999999999986e+01, 3.5931375563833912e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.7999999999999986e+01, 3.8803077547047760e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 8.9999999999999986e+01, 4.1700066025529298e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.1999999999999986e+01, 4.4606345730077379e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.3999999999999986e+01, 4.7506346132741695e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.5999999999999986e+01, 5.0385141170054060e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.7999999999999986e+01, 5.3228640458311083e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 9.9999999999999986e+01, 5.6023749763242048e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0199999999999999e+02, 5.8758499616198523e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0399999999999999e+02, 6.1422141999585611e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0599999999999999e+02, 6.4005215930654813e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0799999999999999e+02, 6.6499583538848350e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.0999999999999999e+02, 6.8898438849682575e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1199999999999999e+02, 7.1196291956780589e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1399999999999999e+02, 7.3388931588289374e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1599999999999999e+02, 7.5473369264383361e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1799999999999999e+02, 7.7447768312272713e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.1999999999999999e+02, 7.9311360969861866e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2199999999999999e+02, 8.1064356685996020e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2399999999999999e+02, 8.2707844531541574e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2599999999999999e+02, 8.4243692388476910e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.2799999999999999e+02, 8.5674445299807178e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3000000000000000e+02, 8.7003225056170475e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3200000000000000e+02, 8.8233632778443161e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3400000000000000e+02, 8.9369655940536163e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3600000000000000e+02, 9.0415580972029819e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.3800000000000000e+02, 9.1375912293510619e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4000000000000000e+02, 9.2255298373700134e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4200000000000000e+02, 9.3058465160654480e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4400000000000000e+02, 9.3790157031059040e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4600000000000000e+02, 9.4455085223570745e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.4800000000000000e+02, 9.5057883573406976e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5000000000000000e+02, 9.5603071245270843e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5199999999999997e+02, 9.6095022068336811e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5399999999999997e+02, 9.6537940008288214e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5599999999999997e+02, 9.6935840264679907e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5799999999999997e+02, 9.7292535454594520e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.5999999999999997e+02, 9.7611626332847157e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6199999999999997e+02, 9.7896496502214181e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6399999999999997e+02, 9.8150310581719968e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6599999999999997e+02, 9.8376015324485988e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6799999999999997e+02, 9.8576343206872274e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.6999999999999997e+02, 9.8753818045628972e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7199999999999997e+02, 9.8910762237814487e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7399999999999997e+02, 9.9049305257930775e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7599999999999997e+02, 9.9171393086742776e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7799999999999997e+02, 9.9278798285709324e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.7999999999999997e+02, 9.9373130468990767e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8199999999999997e+02, 9.9455846961075633e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8399999999999997e+02, 9.9528263461707256e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8599999999999997e+02, 9.9591564570759761e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8799999999999997e+02, 9.9646814053808175e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.8999999999999997e+02, 9.9694964754315019e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9199999999999997e+02, 9.9736868080657404e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9399999999999997e+02, 9.9773283015690017e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9599999999999997e+02, 9.9804884613353528e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9799999999999997e+02, 9.9832271961156749e-01
obl 1, Right Cell, observation data: point, Tc-99 aqueous concentration, 1.9999999999999997e+02, 9.9855975599349800e-01
