
                    ************************************************
                    *                MODEL: CRAFLUSH               *
                    *           PARALLEL CRACK MODEL D > 0         *
                    *            (c) E.A. SUDICKY, 1988            *
                    *   WATERLOO CENTRE FOR GROUNDWATER RESEARCH   *
                    *            UNIVERSITY OF WATERLOO            *
                    *       WATERLOO, ONTARIO, CANADA N2L 3G1      *
                    ************************************************


  SOURCE CONCENTRATION AT FRACTURE ORIGIN=     1.0000
  INITIAL CONCENTRATION IN MATRIX AND FRACTURES=     0.0000
  VELOCITY IN FRACTURE=      6.845
  FRACTURE DISPERSIVITY=      1.000
  FRACTURE APERTURE= 0.1600E-03
  FRACTURE SPACING=      1.600
  MATRIX POROSITY=      0.250
  MATRIX TORTUOSITY=      1.000
  DIFF. COEFF. IN WATER= 0.2290E-03
  FRACTURE RETARDATION FACTOR=      1.000
  MATRIX RETARDATION FACTOR=      1.000
  NON-DECAYING SOLUTE


  NUMERICAL INVERSION PARAMETERS USED IN CRUMP

  ALPHR=  0.000
  RELERR=   0.1000E-04
  N=  20


      TIME        DISTANCE: ALONG FRACTURE,  IN MATRIX      C(t)      STEADY C
      ----        --------- --------------   ---------      ----      --------
     0.27981                  99.500             0.000     0.00000000     1.00000000
     0.30921                  99.500             0.000     0.00000000     1.00000000
     0.34297                  99.500             0.000     0.00000000     1.00000000
     0.37870                  99.500             0.000     0.00000000     1.00000000
     0.41941                  99.500             0.000     0.00000000     1.00000000
     0.46278                  99.500             0.000     0.00000000     1.00000000
     0.51192                  99.500             0.000     0.00000000     1.00000000
     0.56452                  99.500             0.000     0.00000000     1.00000000
     0.62382                  99.500             0.000     0.00000000     1.00000000
     0.68761                  99.500             0.000     0.00000000     1.00000000
     0.75923                  99.500             0.000     0.00000000     1.00000000
     0.83658                  99.500             0.000     0.00000000     1.00000000
      1.0000                  99.500             0.000     0.00000000     1.00000000
      2.0000                  99.500             0.000     0.00000000     1.00000000
      3.0000                  99.500             0.000     0.00000000     1.00000000
      4.0000                  99.500             0.000     0.00000000     1.00000000
      5.0000                  99.500             0.000     0.00000000     1.00000000
      6.0000                  99.500             0.000     0.00000000     1.00000000
      7.0000                  99.500             0.000     0.00000000     1.00000000
      8.0000                  99.500             0.000     0.00000000     1.00000000
      9.0000                  99.500             0.000     0.00000000     1.00000000
      10.000                  99.500             0.000     0.00000000     1.00000000
      11.000                  99.500             0.000     0.00000001     1.00000000
      12.000                  99.500             0.000     0.00000002     1.00000000
      13.000                  99.500             0.000     0.00000005     1.00000000
      14.000                  99.500             0.000     0.00000011     1.00000000
      15.000                  99.500             0.000     0.00000024     1.00000000
      16.000                  99.500             0.000     0.00000048     1.00000000
      17.000                  99.500             0.000     0.00000092     1.00000000
      18.000                  99.500             0.000     0.00000167     1.00000000
      19.000                  99.500             0.000     0.00000290     1.00000000
      20.000                  99.500             0.000     0.00000488     1.00000000
      21.000                  99.500             0.000     0.00000795     1.00000000
      22.000                  99.500             0.000     0.00001260     1.00000000
      23.000                  99.500             0.000     0.00001944     1.00000000
      24.000                  99.500             0.000     0.00002932     1.00000000
      25.000                  99.500             0.000     0.00004330     1.00000000
      26.000                  99.500             0.000     0.00006271     1.00000000
      27.000                  99.500             0.000     0.00008923     1.00000000
      28.000                  99.500             0.000     0.00012490     1.00000000
      29.000                  99.500             0.000     0.00017219     1.00000000
      30.000                  99.500             0.000     0.00023406     1.00000000
      31.000                  99.500             0.000     0.00031402     1.00000000
      32.000                  99.500             0.000     0.00041615     1.00000000
      33.000                  99.500             0.000     0.00054519     1.00000000
      34.000                  99.500             0.000     0.00070657     1.00000000
      35.000                  99.500             0.000     0.00090646     1.00000000
      36.000                  99.500             0.000     0.00115181     1.00000000
      37.000                  99.500             0.000     0.00145037     1.00000000
      38.000                  99.500             0.000     0.00181074     1.00000000
      39.000                  99.500             0.000     0.00224234     1.00000000
      40.000                  99.500             0.000     0.00275548     1.00000000
      41.000                  99.500             0.000     0.00336129     1.00000000
      42.000                  99.500             0.000     0.00407173     1.00000000
      43.000                  99.500             0.000     0.00489957     1.00000000
      44.000                  99.500             0.000     0.00585837     1.00000000
      45.000                  99.500             0.000     0.00696231     1.00000000
      46.000                  99.500             0.000     0.00822634     1.00000000
      47.000                  99.500             0.000     0.00966586     1.00000000
      48.000                  99.500             0.000     0.01129685     1.00000000
      49.000                  99.500             0.000     0.01313556     1.00000000
      50.000                  99.500             0.000     0.01519869     1.00000000
      51.000                  99.500             0.000     0.01750291     1.00000000
      52.000                  99.500             0.000     0.02006506     1.00000000
      53.000                  99.500             0.000     0.02290188     1.00000000
      54.000                  99.500             0.000     0.02602981     1.00000000
      55.000                  99.500             0.000     0.02946516     1.00000000
      56.000                  99.500             0.000     0.03322344     1.00000000
      57.000                  99.500             0.000     0.03731991     1.00000000
      58.000                  99.500             0.000     0.04176874     1.00000000
      59.000                  99.500             0.000     0.04658349     1.00000000
      60.000                  99.500             0.000     0.05177665     1.00000000
      61.000                  99.500             0.000     0.05735977     1.00000000
      62.000                  99.500             0.000     0.06334243     1.00000000
      63.000                  99.500             0.000     0.06973410     1.00000000
      73.000                  99.500             0.000     0.15698418     1.00000000
      74.000                  99.500             0.000     0.16801155     1.00000000
      75.000                  99.500             0.000     0.17942918     1.00000000
      76.000                  99.500             0.000     0.19122609     1.00000000
      77.000                  99.500             0.000     0.20338808     1.00000000
      78.000                  99.500             0.000     0.21590031     1.00000000
      79.000                  99.500             0.000     0.22874724     1.00000000
      80.000                  99.500             0.000     0.24191081     1.00000000
      81.000                  99.500             0.000     0.25537245     1.00000000
      82.000                  99.500             0.000     0.26911153     1.00000000
      83.000                  99.500             0.000     0.28310926     1.00000000
      84.000                  99.500             0.000     0.29734354     1.00000000
      85.000                  99.500             0.000     0.31179150     1.00000000
      86.000                  99.500             0.000     0.32643084     1.00000000
      87.000                  99.500             0.000     0.34124127     1.00000000
      88.000                  99.500             0.000     0.35619485     1.00000000
      89.000                  99.500             0.000     0.37127179     1.00000000
      90.000                  99.500             0.000     0.38644532     1.00000000
      91.000                  99.500             0.000     0.40169492     1.00000000
      92.000                  99.500             0.000     0.41699625     1.00000000
      93.000                  99.500             0.000     0.43232395     1.00000000
      94.000                  99.500             0.000     0.44765607     1.00000000
      95.000                  99.500             0.000     0.46297098     1.00000000
      96.000                  99.500             0.000     0.47824475     1.00000000
      97.000                  99.500             0.000     0.49345985     1.00000000
      98.000                  99.500             0.000     0.50858878     1.00000000
      99.000                  99.500             0.000     0.52361463     1.00000000
      100.00                  99.500             0.000     0.53851859     1.00000000
      101.00                  99.500             0.000     0.55328556     1.00000000
      102.00                  99.500             0.000     0.56789329     1.00000000
      103.00                  99.500             0.000     0.58232222     1.00000000
      104.00                  99.500             0.000     0.59656265     1.00000000
      105.00                  99.500             0.000     0.61059620     1.00000000
      106.00                  99.500             0.000     0.62441442     1.00000000
      107.00                  99.500             0.000     0.63799467     1.00000000
      108.00                  99.500             0.000     0.65133042     1.00000000
      109.00                  99.500             0.000     0.66441403     1.00000000
      110.00                  99.500             0.000     0.67723708     1.00000000
      111.00                  99.500             0.000     0.68977735     1.00000000
      112.00                  99.500             0.000     0.70204423     1.00000000
      113.00                  99.500             0.000     0.71401712     1.00000000
      114.00                  99.500             0.000     0.72569988     1.00000000
      115.00                  99.500             0.000     0.73708338     1.00000000
      116.00                  99.500             0.000     0.74816749     1.00000000
      117.00                  99.500             0.000     0.75894541     1.00000000
      118.00                  99.500             0.000     0.76941752     1.00000000
      119.00                  99.500             0.000     0.77957536     1.00000000
      120.00                  99.500             0.000     0.78942695     1.00000000
      121.00                  99.500             0.000     0.79896907     1.00000000
      122.00                  99.500             0.000     0.80820540     1.00000000
      123.00                  99.500             0.000     0.81713281     1.00000000
      124.00                  99.500             0.000     0.82575578     1.00000000
      125.00                  99.500             0.000     0.83407495     1.00000000
      126.00                  99.500             0.000     0.84210307     1.00000000
      127.00                  99.500             0.000     0.84983492     1.00000000
      128.00                  99.500             0.000     0.85727665     1.00000000
      129.00                  99.500             0.000     0.86442392     1.00000000
      130.00                  99.500             0.000     0.87130243     1.00000000
      131.00                  99.500             0.000     0.87790426     1.00000000
      132.00                  99.500             0.000     0.88423752     1.00000000
      133.00                  99.500             0.000     0.89030174     1.00000000
      134.00                  99.500             0.000     0.89611497     1.00000000
      135.00                  99.500             0.000     0.90167879     1.00000000
      136.00                  99.500             0.000     0.90699014     1.00000000
      137.00                  99.500             0.000     0.91208332     1.00000000
      138.00                  99.500             0.000     0.91692539     1.00000000
      139.00                  99.500             0.000     0.92155776     1.00000000
      140.00                  99.500             0.000     0.92596764     1.00000000
      141.00                  99.500             0.000     0.93016788     1.00000000
      142.00                  99.500             0.000     0.93417058     1.00000000
      143.00                  99.500             0.000     0.93797225     1.00000000
      144.00                  99.500             0.000     0.94159239     1.00000000
      145.00                  99.500             0.000     0.94502752     1.00000000
      146.00                  99.500             0.000     0.94829690     1.00000000
      147.00                  99.500             0.000     0.95138322     1.00000000
      148.00                  99.500             0.000     0.95432713     1.00000000
      149.00                  99.500             0.000     0.95708746     1.00000000
      150.00                  99.500             0.000     0.95973021     1.00000000
      151.00                  99.500             0.000     0.96221821     1.00000000
      152.00                  99.500             0.000     0.96457386     1.00000000
      153.00                  99.500             0.000     0.96679663     1.00000000
      154.00                  99.500             0.000     0.96888876     1.00000000
      155.00                  99.500             0.000     0.97086140     1.00000000
      156.00                  99.500             0.000     0.97273657     1.00000000
      157.00                  99.500             0.000     0.97450824     1.00000000
      158.00                  99.500             0.000     0.97616169     1.00000000
      159.00                  99.500             0.000     0.97772128     1.00000000
      160.00                  99.500             0.000     0.97919957     1.00000000
      161.00                  99.500             0.000     0.98056519     1.00000000
      162.00                  99.500             0.000     0.98187631     1.00000000
      163.00                  99.500             0.000     0.98309967     1.00000000
      164.00                  99.500             0.000     0.98422863     1.00000000
      165.00                  99.500             0.000     0.98531514     1.00000000
      166.00                  99.500             0.000     0.98632192     1.00000000
      167.00                  99.500             0.000     0.98726510     1.00000000
      168.00                  99.500             0.000     0.98814399     1.00000000
      169.00                  99.500             0.000     0.98897561     1.00000000
      170.00                  99.500             0.000     0.98976070     1.00000000
      171.00                  99.500             0.000     0.99046486     1.00000000
      172.00                  99.500             0.000     0.99114642     1.00000000
      173.00                  99.500             0.000     0.99177677     1.00000000
      174.00                  99.500             0.000     0.99236924     1.00000000
      175.00                  99.500             0.000     0.99292411     1.00000000
      176.00                  99.500             0.000     0.99343093     1.00000000
      177.00                  99.500             0.000     0.99392042     1.00000000
      178.00                  99.500             0.000     0.99436956     1.00000000
      179.00                  99.500             0.000     0.99478559     1.00000000
      180.00                  99.500             0.000     0.99517250     1.00000000
      181.00                  99.500             0.000     0.99552765     1.00000000
      182.00                  99.500             0.000     0.99585187     1.00000000
      183.00                  99.500             0.000     0.99617536     1.00000000
      184.00                  99.500             0.000     0.99643471     1.00000000
      185.00                  99.500             0.000     0.99671770     1.00000000
      186.00                  99.500             0.000     0.99696902     1.00000000
      187.00                  99.500             0.000     0.99720451     1.00000000
      188.00                  99.500             0.000     0.99743917     1.00000000
      189.00                  99.500             0.000     0.99761283     1.00000000
      190.00                  99.500             0.000     0.99781053     1.00000000
      191.00                  99.500             0.000     0.99797323     1.00000000
      192.00                  99.500             0.000     0.99813776     1.00000000
      193.00                  99.500             0.000     0.99827826     1.00000000
      194.00                  99.500             0.000     0.99840711     1.00000000
      195.00                  99.500             0.000     0.99856871     1.00000000
      196.00                  99.500             0.000     0.99865853     1.00000000
      197.00                  99.500             0.000     0.99876096     1.00000000
      198.00                  99.500             0.000     0.99888104     1.00000000
      199.00                  99.500             0.000     0.99898341     1.00000000
      200.00                  99.500             0.000     0.99904331     1.00000000
