Observation Name, Region, Functional, Variable, Time [s], Value [kg m molar]
============================================================================
obl 1, Unconfined x=10 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.7627191327830957e+05
obl 2, Unconfined x=90 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.6760808975354303e+05
obl 3, Unconfined x=190 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.5667658388323968e+05
obl 4, Unconfined x=290 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.4561508020290307e+05
obl 5, Unconfined x=390 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.3440576283721591e+05
obl 6, Unconfined x=490 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.2295642657105232e+05
obl 7, Unconfined x=590 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 2.1127576402957458e+05
obl 8, Unconfined x=690 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.9926860770874165e+05
obl 9, Unconfined x=790 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.8683137382611530e+05
obl 10, Unconfined x=890 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.7370566945871079e+05
obl 11, Unconfined x=990 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 1.5956018486840604e+05
obl 12, Confined x=10 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.2552058668698085e+05
obl 13, Confined x=90 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.1718458162117051e+05
obl 14, Confined x=190 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 4.0646365497461380e+05
obl 15, Confined x=290 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.9541021305858338e+05
obl 16, Confined x=390 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.8402432105695404e+05
obl 17, Confined x=490 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.7230414604375931e+05
obl 18, Confined x=590 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.6024648342404410e+05
obl 19, Confined x=690 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.4784705722862872e+05
obl 20, Confined x=790 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.3510146190868138e+05
obl 21, Confined x=890 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.2200659884459182e+05
obl 22, Confined x=990 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, 3.0856324085996469e+05
obl 23, Top x=10 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.6106325124146384e+04
obl 24, Top x=90 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -2.4682741743349750e+04
obl 25, Top x=190 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -3.5654413379157289e+04
obl 26, Top x=290 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -4.6715618678789571e+04
obl 27, Top x=390 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -5.7885354612419964e+04
obl 28, Top x=490 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -6.9335741512254390e+04
obl 29, Top x=590 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -8.1003298775521340e+04
obl 30, Top x=690 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -9.2998418442596289e+04
obl 31, Top x=790 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.0542657756790190e+05
obl 32, Top x=890 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.1845417022670453e+05
obl 33, Top x=990 ft, observation data: point, aqueous pressure, 3.1600000000000000e+12, -1.3264165326851388e+05
obl 34, Top x=10 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4197264029042789e-01
obl 35, Top x=90 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3911748868844523e-01
obl 36, Top x=190 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3585266879790853e-01
obl 37, Top x=290 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3292566291409497e-01
obl 38, Top x=390 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.3027659553525878e-01
obl 39, Top x=490 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2782815967683805e-01
obl 40, Top x=590 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2556791408380422e-01
obl 41, Top x=690 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2345394391426034e-01
obl 42, Top x=790 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.2145534342137274e-01
obl 43, Top x=890 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.1954006755262919e-01
obl 44, Top x=990 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.1763400260391255e-01
obl 45, Left z=1 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 46, Left z=99 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 47, Left z=101 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 48, Left z=109 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 49, Left z=111 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 50, Left z=121 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 51, Left z=129 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 52, Left z=131 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 53, Left z=133 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 54, Left z=135 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 55, Left z=137 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 56, Left z=139 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 57, Left z=141 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 58, Left z=143 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 59, Left z=145 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 60, Left z=147 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 61, Left z=149 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 62, Left z=151 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 63, Left z=153 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 64, Left z=155 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 65, Left z=157 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 66, Left z=159 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 67, Left z=161 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 68, Left z=163 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 69, Left z=165 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 70, Left z=167 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 71, Left z=169 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 72, Left z=171 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 4.6237210987178490e-01
obl 73, Left z=173 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 3.2781366576511195e-01
obl 74, Left z=175 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.7542300212465060e-01
obl 75, Left z=177 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.4546833970719706e-01
obl 76, Left z=179 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.2541444329617041e-01
obl 77, Left z=181 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.1076060537200619e-01
obl 78, Left z=183 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.9943653731638344e-01
obl 79, Left z=185 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.9033828921996912e-01
obl 80, Left z=187 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.8281574943579565e-01
obl 81, Left z=189 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7645761941657104e-01
obl 82, Left z=191 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.7098915950157709e-01
obl 83, Left z=193 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6621884962853598e-01
obl 84, Left z=195 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.6200850588178239e-01
obl 85, Left z=197 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5825555701725530e-01
obl 86, Left z=199 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5488203198414430e-01
obl 87, Left z=201 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.5182744656423669e-01
obl 88, Left z=203 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4904405505337964e-01
obl 89, Left z=205 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4649358995723966e-01
obl 90, Left z=207 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4414496788693895e-01
obl 91, Left z=209 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.4197264029042789e-01
obl 92, Middle z=1 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 93, Middle z=99 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 94, Middle z=101 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 95, Middle z=109 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 96, Middle z=111 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 97, Middle z=121 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 98, Middle z=129 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 99, Middle z=131 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 100, Middle z=133 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 101, Middle z=135 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 102, Middle z=137 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 103, Middle z=139 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 104, Middle z=141 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 105, Middle z=143 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 106, Middle z=145 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 107, Middle z=147 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 108, Middle z=149 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 109, Middle z=151 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.0000000000000000e+00
obl 110, Middle z=153 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 4.8287782845757987e-01
obl 111, Middle z=155 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 3.3348833294796409e-01
obl 112, Middle z=157 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.7831110675723902e-01
obl 113, Middle z=159 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.4729266599181582e-01
obl 114, Middle z=161 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.2670253251726258e-01
obl 115, Middle z=163 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.1173410126703393e-01
obl 116, Middle z=165 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 2.0020683880779153e-01
obl 117, Middle z=167 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.9096831080491725e-01
obl 118, Middle z=169 ft, observation data: point, aqueous saturation, 3.1600000000000000e+12, 1.8334407177098083e-01
