# Time          1.0000E+00
# Units: Mole component in mineral/m^3 porous medium
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01  -9.043605E+00   2.001096E-04   3.014468E+00   1.182970E+01   3.001643E-04   6.360000E-04
   1.500000E+00  -9.043405E+00   3.792689E-08   3.014468E+00   1.182970E+01   5.689033E-08   6.360000E-04
   2.500000E+00  -9.043405E+00   3.352074E-08   3.014468E+00   1.182970E+01   5.028110E-08   6.360000E-04
   3.500000E+00  -9.043405E+00   3.142998E-08   3.014468E+00   1.182970E+01   4.714497E-08   6.360000E-04
   4.500000E+00  -9.043405E+00   2.944265E-08   3.014468E+00   1.182970E+01   4.416398E-08   6.360000E-04
   5.500000E+00  -9.043405E+00   2.744749E-08   3.014468E+00   1.182970E+01   4.117124E-08   6.360000E-04
   6.500000E+00  -9.043405E+00   2.547267E-08   3.014468E+00   1.182970E+01   3.820900E-08   6.360000E-04
   7.500000E+00  -9.043405E+00   2.344781E-08   3.014468E+00   1.182970E+01   3.517172E-08   6.360000E-04
   8.500000E+00  -9.043405E+00   2.144128E-08   3.014468E+00   1.182970E+01   3.216192E-08   6.360000E-04
   9.500000E+00  -9.043405E+00   1.946617E-08   3.014468E+00   1.182970E+01   2.919926E-08   6.360000E-04
   1.050000E+01  -9.043405E+00   1.754757E-08   3.014468E+00   1.182970E+01   2.632135E-08   6.360000E-04
   1.150000E+01  -9.043405E+00   1.561767E-08   3.014468E+00   1.182970E+01   2.342651E-08   6.360000E-04
   1.250000E+01  -9.043405E+00   1.349908E-08   3.014468E+00   1.182970E+01   2.024862E-08   6.360000E-04
   1.350000E+01  -9.043405E+00   1.077367E-08   3.014468E+00   1.182970E+01   1.616051E-08   6.360000E-04
   1.450000E+01  -9.043405E+00   7.412532E-09   3.014468E+00   1.182970E+01   1.111880E-08   6.360000E-04
   1.550000E+01  -9.043405E+00   3.701795E-09   3.014468E+00   1.182970E+01   5.552692E-09   6.360000E-04
   1.650000E+01  -9.043405E+00   1.561333E-11   3.014468E+00   1.182970E+01   2.341999E-11   6.360000E-04
   1.750000E+01  -9.043405E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   1.850000E+01  -9.043405E+00   0.000000E+00   3.014468E+00   1.182970E+01   0.000000E+00   6.360000E-04
   1.950000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.050000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.150000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.250000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.350000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.450000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.550000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.650000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.750000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.850000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   2.950000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.050000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.150000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.250000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.350000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.450000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.550000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.650000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.750000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.850000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   3.950000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.050000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.150000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.250000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.350000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.450000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.550000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.650000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.750000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.850000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   4.950000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.050000E+01  -9.043406E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.150000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.250000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.350000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.450000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.550000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.650000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.750000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.850000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   5.950000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   6.050000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
   6.150000E+01  -9.043407E+00   0.000000E+00   3.014469E+00   1.182970E+01   0.000000E+00   6.360000E-04
