# Time          1.0000E-01
# Units: Log10 mol/kgw
    Distance      pH             H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq)   (UO2)2(OH)2++  (UO2)2OH+++    (UO2)3(OH)4++  (UO2)3(OH)5+   (UO2)3(OH)7-   (UO2)4(OH)7+   Al(OH)2+       AlHPO4+        AlO2-          AlOH++         H2PO4-         H3PO4(aq)      HAlO2(aq)      OH-            PO4---         UO2(H2PO4)(H3  UO2(H2PO4)2(a  UO2(OH)2(aq)   UO2(OH)3-      UO2(OH)4--     UO2H2PO4+      UO2H3PO4++     UO2HPO4(aq)    UO2OH+         UO2PO4-      
   5.000000E-01   2.923750E+00  -2.910629E+00  -8.630474E+00  -4.558647E+00  -3.597113E+00  -5.116256E+00  -2.000000E+00  -1.007459E+01  -1.000279E+01  -1.569210E+01  -1.646925E+01  -2.608361E+01  -2.215454E+01  -9.409789E+00  -5.948674E+00  -1.584700E+01  -6.654998E+00  -4.394176E+00  -5.167411E+00  -1.233659E+01  -1.105359E+01  -1.795654E+01  -8.545536E+00  -6.645568E+00  -9.638101E+00  -1.560777E+01  -2.645011E+01  -5.094453E+00  -8.337239E+00  -5.416584E+00  -7.442274E+00  -8.839053E+00
   1.500000E+00   2.923884E+00  -2.910765E+00  -8.629264E+00  -4.557809E+00  -3.597031E+00  -5.122299E+00  -2.000000E+00  -1.008640E+01  -1.001475E+01  -1.570968E+01  -1.648669E+01  -2.610078E+01  -2.217774E+01  -9.408667E+00  -5.946601E+00  -1.584561E+01  -6.654016E+00  -4.393093E+00  -5.166460E+00  -1.233534E+01  -1.105346E+01  -1.795521E+01  -8.549537E+00  -6.649433E+00  -9.643868E+00  -1.561340E+01  -2.645562E+01  -5.099405E+00  -8.342332E+00  -5.421400E+00  -7.448178E+00  -8.843737E+00
   2.500000E+00   2.924125E+00  -2.911044E+00  -8.609553E+00  -4.558406E+00  -3.597125E+00  -5.235504E+00  -2.000000E+00  -1.031216E+01  -1.024096E+01  -1.604800E+01  -1.682464E+01  -2.643826E+01  -2.262826E+01  -9.408480E+00  -5.927017E+00  -1.584494E+01  -6.654193E+00  -4.373498E+00  -5.147062E+00  -1.233487E+01  -1.105326E+01  -1.793547E+01  -8.623584E+00  -6.723197E+00  -9.756425E+00  -1.572576E+01  -2.656786E+01  -5.192848E+00  -8.436139E+00  -5.514561E+00  -7.561018E+00  -8.936699E+00
   3.500000E+00   2.926218E+00  -2.913257E+00  -8.541377E+00  -4.563461E+00  -3.597783E+00  -6.253921E+00  -2.000000E+00  -1.234429E+01  -1.227582E+01  -1.909383E+01  -1.986799E+01  -2.947742E+01  -2.668531E+01  -9.408390E+00  -5.862408E+00  -1.584066E+01  -6.656588E+00  -4.307018E+00  -5.082542E+00  -1.233255E+01  -1.105130E+01  -1.786586E+01  -9.510479E+00  -7.607866E+00  -1.077013E+01  -1.673751E+01  -2.757791E+01  -6.144262E+00  -9.390038E+00  -6.463748E+00  -8.576950E+00  -9.883927E+00
   4.500000E+00   2.933965E+00  -2.921139E+00  -8.532956E+00  -4.570782E+00  -3.599675E+00  -7.852410E+00  -2.000000E+00  -1.552519E+01  -1.546519E+01  -2.385714E+01  -2.462312E+01  -3.421705E+01  -3.302285E+01  -9.399144E+00  -5.859647E+00  -1.581592E+01  -6.655527E+00  -4.305902E+00  -5.089026E+00  -1.231541E+01  -1.104370E+01  -1.785043E+01  -1.111375E+01  -9.203245E+00  -1.235254E+01  -1.831232E+01  -2.914542E+01  -7.741052E+00  -1.099501E+01  -8.052642E+00  -1.016725E+01  -1.146522E+01
   5.500000E+00   2.949729E+00  -2.937158E+00  -8.531738E+00  -4.586085E+00  -3.603603E+00  -9.499955E+00  -2.000000E+00  -1.878765E+01  -1.874477E+01  -2.873452E+01  -2.948390E+01  -3.904631E+01  -3.949855E+01  -9.380895E+00  -5.870597E+00  -1.576615E+01  -6.653867E+00  -4.319613E+00  -5.118221E+00  -1.228112E+01  -1.102821E+01  -1.783484E+01  -1.280311E+01  -1.087655E+01  -1.396745E+01  -1.991175E+01  -3.072992E+01  -9.401206E+00  -1.267176E+01  -9.696753E+00  -1.179821E+01  -1.309385E+01
   6.500000E+00   2.976998E+00  -2.964847E+00  -8.529931E+00  -4.613253E+00  -3.610231E+00  -1.118748E+01  -2.000000E+00  -2.210634E+01  -2.209297E+01  -3.368439E+01  -3.440514E+01  -4.391301E+01  -4.605096E+01  -9.350182E+00  -5.890784E+00  -1.568089E+01  -6.651783E+00  -4.343701E+00  -5.169116E+00  -1.222267E+01  -1.100140E+01  -1.780805E+01  -1.456380E+01  -1.260952E+01  -1.559862E+01  -2.151611E+01  -3.230838E+01  -1.111100E+01  -1.441018E+01  -1.137882E+01  -1.345711E+01  -1.474911E+01
   7.500000E+00   3.018686E+00  -3.007141E+00  -8.527187E+00  -4.655235E+00  -3.619810E+00  -1.291608E+01  -2.000000E+00  -2.547755E+01  -2.550909E+01  -3.869820E+01  -3.937532E+01  -4.879981E+01  -5.266374E+01  -9.303967E+00  -5.922571E+00  -1.555130E+01  -6.649210E+00  -4.380670E+00  -5.247111E+00  -1.213411E+01  -1.096038E+01  -1.776691E+01  -1.640476E+01  -1.440813E+01  -1.724122E+01  -2.311768E+01  -3.387025E+01  -1.287396E+01  -1.621678E+01  -1.309943E+01  -1.514206E+01  -1.642869E+01
   8.500000E+00   3.076868E+00  -3.066110E+00  -8.523479E+00  -4.714088E+00  -3.632041E+00  -1.427929E+01  -2.000000E+00  -2.808424E+01  -2.817812E+01  -4.254837E+01  -4.316478E+01  -5.247291E+01  -5.769668E+01  -9.240201E+00  -5.968068E+00  -1.537117E+01  -6.646149E+00  -4.432597E+00  -5.356366E+00  -1.201130E+01  -1.090305E+01  -1.770927E+01  -1.792579E+01  -1.587012E+01  -1.848469E+01  -2.430383E+01  -3.500075E+01  -1.428573E+01  -1.768925E+01  -1.445216E+01  -1.644457E+01  -1.772409E+01
   9.500000E+00   3.152771E+00  -3.142949E+00  -8.518865E+00  -4.790992E+00  -3.646126E+00  -1.448823E+01  -2.000000E+00  -2.834633E+01  -2.852105E+01  -4.286361E+01  -4.340112E+01  -5.255745E+01  -5.798617E+01  -9.157838E+00  -6.028872E+00  -1.513701E+01  -6.642681E+00  -4.500864E+00  -5.499524E+00  -1.185203E+01  -1.082816E+01  -1.763379E+01  -1.834218E+01  -1.620959E+01  -1.853783E+01  -2.428207E+01  -3.490612E+01  -1.455895E+01  -1.804137E+01  -1.464846E+01  -1.657462E+01  -1.784551E+01
   1.050000E+01   3.246909E+00  -3.238132E+00  -8.513356E+00  -4.886449E+00  -3.660954E+00  -1.452723E+01  -2.000000E+00  -2.823163E+01  -2.850596E+01  -4.259520E+01  -4.303527E+01  -5.200331E+01  -5.746661E+01  -9.056702E+00  -6.106052E+00  -1.484759E+01  -6.638997E+00  -4.586152E+00  -5.677831E+00  -1.165563E+01  -1.073513E+01  -1.753971E+01  -1.864036E+01  -1.641252E+01  -1.838412E+01  -2.403534E+01  -3.456859E+01  -1.467881E+01  -1.825868E+01  -1.467307E+01  -1.651617E+01  -1.777709E+01
   1.150000E+01   3.359276E+00  -3.351597E+00  -8.506743E+00  -5.000572E+00  -3.675366E+00  -1.457558E+01  -2.000000E+00  -2.809897E+01  -2.849139E+01  -4.228153E+01  -4.260577E+01  -5.134908E+01  -5.685611E+01  -8.937337E+00  -6.200161E+00  -1.450349E+01  -6.635462E+00  -4.688418E+00  -5.891297E+00  -1.142273E+01  -1.062393E+01  -1.742654E+01  -1.899982E+01  -1.665845E+01  -1.820310E+01  -2.374313E+01  -3.416750E+01  -1.482480E+01  -1.852050E+01  -1.470552E+01  -1.644868E+01  -1.769835E+01
   1.250000E+01   3.489504E+00  -3.482926E+00  -8.498399E+00  -5.133446E+00  -3.688399E+00  -1.463973E+01  -2.000000E+00  -2.796221E+01  -2.849056E+01  -4.194387E+01  -4.213443E+01  -5.061728E+01  -5.618386E+01  -8.800979E+00  -6.311293E+00  -1.410668E+01  -6.632779E+00  -4.806834E+00  -6.138780E+00  -1.115499E+01  -1.049486E+01  -1.729375E+01  -1.942528E+01  -1.695251E+01  -1.800219E+01  -2.341314E+01  -3.371076E+01  -1.500277E+01  -1.883214E+01  -1.475210E+01  -1.637916E+01  -1.761586E+01
   1.350000E+01   3.636987E+00  -3.631467E+00  -8.487052E+00  -5.285617E+00  -3.699438E+00  -1.472340E+01  -2.000000E+00  -2.783020E+01  -2.851149E+01  -4.159617E+01  -4.163596E+01  -4.982385E+01  -5.546971E+01  -8.649745E+00  -6.439271E+00  -1.366048E+01  -6.632319E+00  -4.939662E+00  -6.417986E+00  -1.085516E+01  -1.034849E+01  -1.714043E+01  -1.991660E+01  -1.729525E+01  -1.778650E+01  -2.305108E+01  -3.320451E+01  -1.521488E+01  -1.919503E+01  -1.481562E+01  -1.631206E+01  -1.753300E+01
   1.450000E+01   3.800965E+00  -3.796425E+00  -8.470504E+00  -5.458870E+00  -3.708252E+00  -1.483002E+01  -2.000000E+00  -2.771144E+01  -2.856173E+01  -4.125204E+01  -4.112482E+01  -4.898475E+01  -5.473319E+01  -8.487223E+00  -6.584101E+00  -1.317000E+01  -6.636803E+00  -5.084050E+00  -6.725335E+00  -1.052765E+01  -1.018552E+01  -1.696498E+01  -2.047092E+01  -1.768457E+01  -1.756112E+01  -2.266273E+01  -3.265523E+01  -1.546184E+01  -1.960900E+01  -1.489759E+01  -1.625167E+01  -1.745201E+01
   1.550000E+01   3.980551E+00  -3.976890E+00  -8.445295E+00  -5.657707E+00  -3.714934E+00  -1.496198E+01  -2.000000E+00  -2.761258E+01  -2.864694E+01  -4.092235E+01  -4.061284E+01  -4.811360E+01  -5.399039E+01  -8.319866E+00  -6.747092E+00  -1.264347E+01  -6.651736E+00  -5.235714E+00  -7.055679E+00  -1.017980E+01  -1.000684E+01  -1.676471E+01  -2.108128E+01  -1.811444E+01  -1.733029E+01  -2.225323E+01  -3.206886E+01  -1.574186E+01  -2.007130E+01  -1.499712E+01  -1.620134E+01  -1.737285E+01
