# Time          5.0000E-01
    Distance         pH
  5.0000E-01    2.9238E+00
  1.5000E+00    2.9238E+00
  2.5000E+00    2.9239E+00
  3.5000E+00    2.9240E+00
  4.5000E+00    2.9240E+00
  5.5000E+00    2.9241E+00
  6.5000E+00    2.9242E+00
  7.5000E+00    2.9242E+00
  8.5000E+00    2.9243E+00
  9.5000E+00    2.9244E+00
  1.0500E+01    2.9244E+00
  1.1500E+01    2.9242E+00
  1.2500E+01    2.9231E+00
  1.3500E+01    2.9231E+00
  1.4500E+01    2.9232E+00
  1.5500E+01    2.9233E+00
  1.6500E+01    2.9233E+00
  1.7500E+01    2.9234E+00
  1.8500E+01    2.9235E+00
  1.9500E+01    2.9236E+00
  2.0500E+01    2.9237E+00
  2.1500E+01    2.9238E+00
  2.2500E+01    2.9240E+00
  2.3500E+01    2.9242E+00
  2.4500E+01    2.9246E+00
  2.5500E+01    2.9251E+00
  2.6500E+01    2.9257E+00
  2.7500E+01    2.9267E+00
  2.8500E+01    2.9280E+00
  2.9500E+01    2.9298E+00
  3.0500E+01    2.9321E+00
  3.1500E+01    2.9351E+00
  3.2500E+01    2.9390E+00
  3.3500E+01    2.9440E+00
  3.4500E+01    2.9500E+00
  3.5500E+01    2.9575E+00
  3.6500E+01    2.9664E+00
  3.7500E+01    2.9770E+00
  3.8500E+01    2.9894E+00
  3.9500E+01    3.0038E+00
  4.0500E+01    3.0203E+00
  4.1500E+01    3.0391E+00
  4.2500E+01    3.0602E+00
  4.3500E+01    3.0838E+00
  4.4500E+01    3.1099E+00
  4.5500E+01    3.1387E+00
  4.6500E+01    3.1701E+00
  4.7500E+01    3.2043E+00
  4.8500E+01    3.2412E+00
  4.9500E+01    3.2810E+00
  5.0500E+01    3.3237E+00
  5.1500E+01    3.3691E+00
  5.2500E+01    3.4175E+00
  5.3500E+01    3.4687E+00
  5.4500E+01    3.5228E+00
  5.5500E+01    3.5797E+00
  5.6500E+01    3.6395E+00
  5.7500E+01    3.7020E+00
  5.8500E+01    3.7672E+00
  5.9500E+01    3.8352E+00
  6.0500E+01    3.9057E+00
  6.1500E+01    3.9787E+00
  6.2500E+01    4.0541E+00
  6.3500E+01    4.1316E+00
  6.4500E+01    4.2112E+00
  6.5500E+01    4.2925E+00
  6.6500E+01    4.3755E+00
  6.7500E+01    4.4601E+00
  6.8500E+01    4.5467E+00
  6.9500E+01    4.6360E+00
  7.0500E+01    4.7288E+00
  7.1500E+01    4.8262E+00
  7.2500E+01    4.9285E+00
  7.3500E+01    5.0362E+00
  7.4500E+01    5.1496E+00
  7.5500E+01    5.2693E+00
  7.6500E+01    5.3967E+00
  7.7500E+01    5.5339E+00
  7.8500E+01    5.6842E+00
  7.9500E+01    5.8529E+00
  8.0500E+01    6.0475E+00
  8.1500E+01    6.2761E+00
  8.2500E+01    6.5318E+00
  8.3500E+01    6.7743E+00
  8.4500E+01    6.9678E+00
  8.5500E+01    7.1113E+00
  8.6500E+01    7.2160E+00
  8.7500E+01    7.2924E+00
  8.8500E+01    7.3481E+00
  8.9500E+01    7.3889E+00
  9.0500E+01    7.4188E+00
  9.1500E+01    7.4407E+00
  9.2500E+01    7.4568E+00
  9.3500E+01    7.4686E+00
  9.4500E+01    7.4773E+00
  9.5500E+01    7.4836E+00
  9.6500E+01    7.4882E+00
  9.7500E+01    7.4916E+00
  9.8500E+01    7.4940E+00
  9.9500E+01    7.4958E+00
