# Time          5.0000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   4.085601E-01  -5.802918E+00   1.361766E-05   7.818977E-05
   1.500000E+00   4.086697E-01  -5.800329E+00   3.135524E-09   7.820855E-05
   2.500000E+00   4.087792E-01  -5.797745E+00   2.958733E-09   7.822734E-05
   3.500000E+00   4.088887E-01  -5.795165E+00   2.958634E-09   7.824613E-05
   4.500000E+00   4.089982E-01  -5.792590E+00   2.958529E-09   7.826492E-05
   5.500000E+00   4.091076E-01  -5.790019E+00   2.958387E-09   7.828371E-05
   6.500000E+00   4.092171E-01  -5.787452E+00   2.957640E-09   7.830250E-05
   7.500000E+00   4.093264E-01  -5.784890E+00   2.948450E-09   7.832127E-05
   8.500000E+00   4.094358E-01  -5.782328E+00  -7.167982E-06   7.833970E-05
   9.500000E+00   4.095451E-01  -5.779811E+00  -2.124877E-03   7.835399E-05
   1.050000E+01   4.096544E-01  -5.777596E+00  -2.052835E-02   7.833670E-05
   1.150000E+01   4.097636E-01  -5.777296E+00  -1.584366E-01   7.811371E-05
   1.250000E+01   4.098725E-01  -5.784357E+00  -1.201247E+00   7.734564E-05
   1.350000E+01   4.099816E-01  -5.785259E+00  -4.795225E+00   7.711858E-05
   1.450000E+01   4.100906E-01  -5.782892E+00  -9.032258E+00   7.712404E-05
   1.550000E+01   4.101994E-01  -5.780365E+00  -1.330267E+01   7.714108E-05
   1.650000E+01   4.103078E-01  -5.777822E+00  -1.757732E+01   7.715855E-05
   1.750000E+01   4.104155E-01  -5.775272E+00  -2.184341E+01   7.717540E-05
   1.850000E+01   4.105217E-01  -5.772706E+00  -2.580122E+01   7.719078E-05
   1.950000E+01   4.106254E-01  -5.770109E+00  -2.755761E+01   7.720348E-05
   2.050000E+01   4.107247E-01  -5.767454E+00  -2.770294E+01   7.721158E-05
   2.150000E+01   4.108168E-01  -5.764701E+00  -2.770831E+01   7.721224E-05
   2.250000E+01   4.108976E-01  -5.761786E+00  -2.770813E+01   7.720127E-05
   2.350000E+01   4.109608E-01  -5.758623E+00  -2.770763E+01   7.717280E-05
   2.450000E+01   4.109979E-01  -5.755087E+00  -2.770695E+01   7.711890E-05
   2.550000E+01   4.109977E-01  -5.751011E+00  -2.770604E+01   7.702918E-05
   2.650000E+01   4.109452E-01  -5.746182E+00  -2.770480E+01   7.689058E-05
   2.750000E+01   4.108221E-01  -5.740326E+00  -2.770311E+01   7.668719E-05
   2.850000E+01   4.106057E-01  -5.733112E+00  -2.770084E+01   7.640037E-05
   2.950000E+01   4.102698E-01  -5.724145E+00  -2.769783E+01   7.600902E-05
   3.050000E+01   4.097845E-01  -5.712970E+00  -2.769387E+01   7.549017E-05
   3.150000E+01   4.091171E-01  -5.699074E+00  -2.768875E+01   7.481980E-05
   3.250000E+01   4.082326E-01  -5.681895E+00  -2.768224E+01   7.397389E-05
   3.350000E+01   4.070959E-01  -5.660827E+00  -2.767411E+01   7.292971E-05
   3.450000E+01   4.056722E-01  -5.635236E+00  -2.766411E+01   7.166712E-05
