# Time          1.0000E+00
# Units: Dimensionless (Log10(Q/Keq)
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   4.085601E-01  -5.802918E+00   1.361766E-05   7.818977E-05
   1.500000E+00   4.086697E-01  -5.800329E+00   3.135524E-09   7.820855E-05
   2.500000E+00   4.087792E-01  -5.797745E+00   2.958739E-09   7.822734E-05
   3.500000E+00   4.088887E-01  -5.795165E+00   2.958634E-09   7.824613E-05
   4.500000E+00   4.089982E-01  -5.792590E+00   2.958532E-09   7.826492E-05
   5.500000E+00   4.091076E-01  -5.790019E+00   2.958433E-09   7.828371E-05
   6.500000E+00   4.092171E-01  -5.787452E+00   2.958331E-09   7.830250E-05
   7.500000E+00   4.093264E-01  -5.784890E+00   2.958230E-09   7.832129E-05
   8.500000E+00   4.094358E-01  -5.782332E+00   2.958128E-09   7.834008E-05
   9.500000E+00   4.095451E-01  -5.779779E+00   2.958023E-09   7.835887E-05
   1.050000E+01   4.096544E-01  -5.777230E+00   2.957924E-09   7.837766E-05
   1.150000E+01   4.097637E-01  -5.774685E+00   2.957819E-09   7.839645E-05
   1.250000E+01   4.098729E-01  -5.772145E+00   2.957693E-09   7.841523E-05
   1.350000E+01   4.099821E-01  -5.769609E+00   2.957347E-09   7.843402E-05
   1.450000E+01   4.100913E-01  -5.767077E+00   2.955252E-09   7.845280E-05
   1.550000E+01   4.102004E-01  -5.764549E+00   2.939523E-09   7.847153E-05
   1.650000E+01   4.103096E-01  -5.762022E+00   3.023514E-11   7.848960E-05
   1.750000E+01   4.104186E-01  -5.759516E+00  -1.029860E-03   7.850434E-05
   1.850000E+01   4.105277E-01  -5.757075E+00  -5.700504E-03   7.850790E-05
   1.950000E+01   4.106367E-01  -5.754799E+00  -2.049698E-02   7.848302E-05
   2.050000E+01   4.107457E-01  -5.752869E+00  -5.834038E-02   7.840214E-05
   2.150000E+01   4.108546E-01  -5.751572E+00  -1.412923E-01   7.824198E-05
   2.250000E+01   4.109634E-01  -5.751354E+00  -3.187576E-01   7.797011E-05
   2.350000E+01   4.110722E-01  -5.752690E+00  -6.944217E-01   7.765085E-05
   2.450000E+01   4.111810E-01  -5.755506E+00  -1.590762E+00   7.742297E-05
   2.550000E+01   4.112898E-01  -5.755572E+00  -3.664242E+00   7.734227E-05
   2.650000E+01   4.113987E-01  -5.753177E+00  -6.426552E+00   7.733947E-05
   2.750000E+01   4.115074E-01  -5.750521E+00  -9.136443E+00   7.735446E-05
   2.850000E+01   4.116162E-01  -5.747884E+00  -1.170300E+01   7.737251E-05
   2.950000E+01   4.117249E-01  -5.745284E+00  -1.418450E+01   7.739112E-05
   3.050000E+01   4.118336E-01  -5.742718E+00  -1.662696E+01   7.740986E-05
   3.150000E+01   4.119423E-01  -5.740178E+00  -1.905221E+01   7.742865E-05
   3.250000E+01   4.120509E-01  -5.737661E+00  -2.146351E+01   7.744746E-05
   3.350000E+01   4.121594E-01  -5.735162E+00  -2.382462E+01   7.746627E-05
   3.450000E+01   4.122678E-01  -5.732678E+00  -2.592634E+01   7.748503E-05
