# Time          1.0000E-01
# Units: Weight % Component
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01  -9.919970E-01   2.310171E-04   8.851903E+00   7.735609E+01   9.749135E-04   0.000000E+00
   1.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   5.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   6.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   7.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   8.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   9.500000E+00  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.050000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.150000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.250000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.350000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.450000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.550000E+01  -9.920074E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.650000E+01  -9.920074E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.750000E+01  -9.920074E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.850000E+01  -9.920074E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   1.950000E+01  -9.920074E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.050000E+01  -9.920074E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.150000E+01  -9.920074E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.250000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.350000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.450000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.550000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.650000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.750000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.850000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   2.950000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.050000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.150000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.250000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.350000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.450000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.550000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.650000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.750000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.850000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   3.950000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
   4.050000E+01  -9.920073E-01   0.000000E+00   8.852018E+00   7.735709E+01   0.000000E+00   0.000000E+00
