# Time          1.5000E+00
# Units: Weight % Component
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01  -9.918668E-01   3.122705E-03   8.850471E+00   7.734361E+01   1.317810E-02   0.000000E+00
   1.500000E+00  -9.920070E-01   6.340126E-07   8.852014E+00   7.735709E+01   2.675592E-06   0.000000E+00
   2.500000E+00  -9.920070E-01   5.745771E-07   8.852014E+00   7.735709E+01   2.424769E-06   0.000000E+00
   3.500000E+00  -9.920070E-01   5.527297E-07   8.852014E+00   7.735709E+01   2.332570E-06   0.000000E+00
   4.500000E+00  -9.920070E-01   5.319626E-07   8.852014E+00   7.735709E+01   2.244932E-06   0.000000E+00
   5.500000E+00  -9.920070E-01   5.111138E-07   8.852014E+00   7.735710E+01   2.156948E-06   0.000000E+00
   6.500000E+00  -9.920070E-01   4.904774E-07   8.852014E+00   7.735710E+01   2.069860E-06   0.000000E+00
   7.500000E+00  -9.920070E-01   4.693185E-07   8.852014E+00   7.735710E+01   1.980568E-06   0.000000E+00
   8.500000E+00  -9.920070E-01   4.483509E-07   8.852014E+00   7.735710E+01   1.892082E-06   0.000000E+00
   9.500000E+00  -9.920070E-01   4.277116E-07   8.852015E+00   7.735710E+01   1.804983E-06   0.000000E+00
   1.050000E+01  -9.920070E-01   4.076624E-07   8.852015E+00   7.735710E+01   1.720373E-06   0.000000E+00
   1.150000E+01  -9.920070E-01   3.874955E-07   8.852015E+00   7.735710E+01   1.635267E-06   0.000000E+00
   1.250000E+01  -9.920070E-01   3.653572E-07   8.852015E+00   7.735710E+01   1.541841E-06   0.000000E+00
   1.350000E+01  -9.920070E-01   3.368800E-07   8.852015E+00   7.735710E+01   1.421665E-06   0.000000E+00
   1.450000E+01  -9.920070E-01   3.017586E-07   8.852015E+00   7.735710E+01   1.273449E-06   0.000000E+00
   1.550000E+01  -9.920070E-01   2.629607E-07   8.852015E+00   7.735710E+01   1.109718E-06   0.000000E+00
   1.650000E+01  -9.920070E-01   2.242465E-07   8.852015E+00   7.735710E+01   9.463410E-07   0.000000E+00
   1.750000E+01  -9.920070E-01   2.018801E-07   8.852015E+00   7.735710E+01   8.519526E-07   0.000000E+00
   1.850000E+01  -9.920070E-01   1.741396E-07   8.852015E+00   7.735710E+01   7.348854E-07   0.000000E+00
   1.950000E+01  -9.920070E-01   1.498302E-07   8.852015E+00   7.735710E+01   6.322975E-07   0.000000E+00
   2.050000E+01  -9.920070E-01   1.149653E-07   8.852015E+00   7.735710E+01   4.851640E-07   0.000000E+00
   2.150000E+01  -9.920070E-01   9.882430E-08   8.852015E+00   7.735710E+01   4.170477E-07   0.000000E+00
   2.250000E+01  -9.920070E-01   6.916947E-08   8.852015E+00   7.735710E+01   2.919016E-07   0.000000E+00
   2.350000E+01  -9.920070E-01   5.344377E-08   8.852015E+00   7.735710E+01   2.255377E-07   0.000000E+00
   2.450000E+01  -9.920070E-01   2.477846E-08   8.852015E+00   7.735710E+01   1.045674E-07   0.000000E+00
   2.550000E+01  -9.920070E-01   1.003395E-08   8.852015E+00   7.735710E+01   4.234422E-08   0.000000E+00
   2.650000E+01  -9.920070E-01   0.000000E+00   8.852015E+00   7.735710E+01   0.000000E+00   0.000000E+00
   2.750000E+01  -9.920070E-01   0.000000E+00   8.852015E+00   7.735710E+01   0.000000E+00   0.000000E+00
   2.850000E+01  -9.920070E-01   0.000000E+00   8.852015E+00   7.735710E+01   0.000000E+00   0.000000E+00
   2.950000E+01  -9.920070E-01   0.000000E+00   8.852015E+00   7.735710E+01   0.000000E+00   0.000000E+00
   3.050000E+01  -9.920070E-01   0.000000E+00   8.852015E+00   7.735710E+01   0.000000E+00   0.000000E+00
   3.150000E+01  -9.920070E-01   0.000000E+00   8.852015E+00   7.735710E+01   0.000000E+00   0.000000E+00
   3.250000E+01  -9.920070E-01   0.000000E+00   8.852015E+00   7.735710E+01   0.000000E+00   0.000000E+00
