# Time          1.0000E+00
    Distance         pH
  5.0000E-01    2.9238E+00
  1.5000E+00    2.9238E+00
  2.5000E+00    2.9239E+00
  3.5000E+00    2.9240E+00
  4.5000E+00    2.9240E+00
  5.5000E+00    2.9241E+00
  6.5000E+00    2.9242E+00
  7.5000E+00    2.9242E+00
  8.5000E+00    2.9243E+00
  9.5000E+00    2.9244E+00
  1.0500E+01    2.9244E+00
  1.1500E+01    2.9245E+00
  1.2500E+01    2.9246E+00
  1.3500E+01    2.9246E+00
  1.4500E+01    2.9247E+00
  1.5500E+01    2.9248E+00
  1.6500E+01    2.9249E+00
  1.7500E+01    2.9249E+00
  1.8500E+01    2.9250E+00
  1.9500E+01    2.9250E+00
  2.0500E+01    2.9250E+00
  2.1500E+01    2.9249E+00
  2.2500E+01    2.9247E+00
  2.3500E+01    2.9243E+00
  2.4500E+01    2.9238E+00
  2.5500E+01    2.9238E+00
  2.6500E+01    2.9239E+00
  2.7500E+01    2.9240E+00
  2.8500E+01    2.9241E+00
  2.9500E+01    2.9242E+00
  3.0500E+01    2.9243E+00
  3.1500E+01    2.9244E+00
  3.2500E+01    2.9245E+00
  3.3500E+01    2.9246E+00
  3.4500E+01    2.9246E+00
  3.5500E+01    2.9247E+00
  3.6500E+01    2.9248E+00
  3.7500E+01    2.9249E+00
  3.8500E+01    2.9249E+00
  3.9500E+01    2.9250E+00
  4.0500E+01    2.9251E+00
  4.1500E+01    2.9252E+00
  4.2500E+01    2.9252E+00
  4.3500E+01    2.9253E+00
  4.4500E+01    2.9254E+00
  4.5500E+01    2.9255E+00
  4.6500E+01    2.9257E+00
  4.7500E+01    2.9258E+00
  4.8500E+01    2.9260E+00
  4.9500E+01    2.9262E+00
  5.0500E+01    2.9264E+00
  5.1500E+01    2.9267E+00
  5.2500E+01    2.9270E+00
  5.3500E+01    2.9274E+00
  5.4500E+01    2.9279E+00
  5.5500E+01    2.9285E+00
  5.6500E+01    2.9291E+00
  5.7500E+01    2.9299E+00
  5.8500E+01    2.9309E+00
  5.9500E+01    2.9320E+00
  6.0500E+01    2.9333E+00
  6.1500E+01    2.9348E+00
  6.2500E+01    2.9365E+00
  6.3500E+01    2.9385E+00
  6.4500E+01    2.9408E+00
  6.5500E+01    2.9434E+00
  6.6500E+01    2.9463E+00
  6.7500E+01    2.9495E+00
  6.8500E+01    2.9532E+00
  6.9500E+01    2.9572E+00
  7.0500E+01    2.9617E+00
  7.1500E+01    2.9666E+00
  7.2500E+01    2.9720E+00
  7.3500E+01    2.9778E+00
  7.4500E+01    2.9842E+00
  7.5500E+01    2.9911E+00
  7.6500E+01    2.9986E+00
  7.7500E+01    3.0066E+00
  7.8500E+01    3.0151E+00
  7.9500E+01    3.0243E+00
  8.0500E+01    3.0341E+00
  8.1500E+01    3.0444E+00
  8.2500E+01    3.0554E+00
  8.3500E+01    3.0669E+00
  8.4500E+01    3.0791E+00
  8.5500E+01    3.0919E+00
  8.6500E+01    3.1054E+00
  8.7500E+01    3.1195E+00
  8.8500E+01    3.1341E+00
  8.9500E+01    3.1494E+00
  9.0500E+01    3.1654E+00
  9.1500E+01    3.1819E+00
  9.2500E+01    3.1991E+00
  9.3500E+01    3.2168E+00
  9.4500E+01    3.2352E+00
  9.5500E+01    3.2541E+00
  9.6500E+01    3.2737E+00
  9.7500E+01    3.2938E+00
  9.8500E+01    3.3145E+00
  9.9500E+01    3.3357E+00
