# Time          1.0000E+00
# Units: Mol/L Porous Medium/s
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   1.561888E-15  -1.999858E-14   3.135632E-12   1.145149E-38
   1.500000E+00   1.562534E-15  -1.999858E-14   7.219811E-16   1.145424E-38
   2.500000E+00   1.563181E-15  -1.999858E-14   6.812748E-16   1.145699E-38
   3.500000E+00   1.563827E-15  -1.999858E-14   6.812506E-16   1.145974E-38
   4.500000E+00   1.564473E-15  -1.999858E-14   6.812272E-16   1.146249E-38
   5.500000E+00   1.565120E-15  -1.999858E-14   6.812044E-16   1.146525E-38
   6.500000E+00   1.565766E-15  -1.999858E-14   6.811810E-16   1.146800E-38
   7.500000E+00   1.566412E-15  -1.999858E-14   6.811575E-16   1.147075E-38
   8.500000E+00   1.567059E-15  -1.999858E-14   6.811341E-16   1.147350E-38
   9.500000E+00   1.567705E-15  -1.999858E-14   6.811099E-16   1.147625E-38
   1.050000E+01   1.568351E-15  -1.999858E-14   6.810872E-16   1.147901E-38
   1.150000E+01   1.568997E-15  -1.999858E-14   6.810630E-16   1.148176E-38
   1.250000E+01   1.569644E-15  -1.999858E-14   6.810339E-16   1.148451E-38
   1.350000E+01   1.570290E-15  -1.999858E-14   6.809543E-16   1.148726E-38
   1.450000E+01   1.570936E-15  -1.999858E-14   6.804719E-16   1.149001E-38
   1.550000E+01   1.571582E-15  -1.999858E-14   6.768502E-16   1.149276E-38
   1.650000E+01   1.572229E-15  -1.999858E-14   6.961898E-18   1.149540E-38
   1.750000E+01   1.572875E-15  -1.999858E-14   0.000000E+00   1.149756E-38
   1.850000E+01   1.573521E-15  -1.999858E-14   0.000000E+00   1.149808E-38
   1.950000E+01   1.574167E-15  -1.999858E-14   0.000000E+00   1.149444E-38
   2.050000E+01   1.574813E-15  -1.999858E-14   0.000000E+00   1.148259E-38
   2.150000E+01   1.575459E-15  -1.999858E-14   0.000000E+00   1.145913E-38
   2.250000E+01   1.576104E-15  -1.999858E-14   0.000000E+00   1.141931E-38
   2.350000E+01   1.576750E-15  -1.999858E-14   0.000000E+00   1.137255E-38
   2.450000E+01   1.577395E-15  -1.999858E-14   0.000000E+00   1.133917E-38
   2.550000E+01   1.578041E-15  -1.999858E-14   0.000000E+00   1.132735E-38
   2.650000E+01   1.578687E-15  -1.999858E-14   0.000000E+00   1.132694E-38
   2.750000E+01   1.579333E-15  -1.999858E-14   0.000000E+00   1.132914E-38
   2.850000E+01   1.579979E-15  -1.999858E-14   0.000000E+00   1.133178E-38
   2.950000E+01   1.580625E-15  -1.999858E-14   0.000000E+00   1.133451E-38
   3.050000E+01   1.581271E-15  -1.999858E-14   0.000000E+00   1.133725E-38
   3.150000E+01   1.581917E-15  -1.999858E-14   0.000000E+00   1.134000E-38
   3.250000E+01   1.582563E-15  -1.999858E-14   0.000000E+00   1.134276E-38
   3.350000E+01   1.583208E-15  -1.999858E-14   0.000000E+00   1.134551E-38
   3.450000E+01   1.583853E-15  -1.999858E-14   0.000000E+00   1.134826E-38
   3.550000E+01   1.584498E-15  -1.999858E-14   0.000000E+00   1.135099E-38
   3.650000E+01   1.585142E-15  -1.999858E-14   0.000000E+00   1.135370E-38
   3.750000E+01   1.585784E-15  -1.999858E-14   0.000000E+00   1.135636E-38
   3.850000E+01   1.586425E-15  -1.999858E-14   0.000000E+00   1.135897E-38
   3.950000E+01   1.587063E-15  -1.999858E-14   0.000000E+00   1.136148E-38
   4.050000E+01   1.587697E-15  -1.999858E-14   0.000000E+00   1.136387E-38
   4.150000E+01   1.588326E-15  -1.999858E-14   0.000000E+00   1.136609E-38
   4.250000E+01   1.588948E-15  -1.999858E-14   0.000000E+00   1.136807E-38
   4.350000E+01   1.589560E-15  -1.999858E-14   0.000000E+00   1.136974E-38
   4.450000E+01   1.590159E-15  -1.999858E-14   0.000000E+00   1.137101E-38
   4.550000E+01   1.590740E-15  -1.999858E-14   0.000000E+00   1.137174E-38
   4.650000E+01   1.591299E-15  -1.999858E-14   0.000000E+00   1.137179E-38
   4.750000E+01   1.591828E-15  -1.999858E-14   0.000000E+00   1.137098E-38
   4.850000E+01   1.592320E-15  -1.999858E-14   0.000000E+00   1.136910E-38
   4.950000E+01   1.592766E-15  -1.999858E-14   0.000000E+00   1.136590E-38
   5.050000E+01   1.593153E-15  -1.999857E-14   0.000000E+00   1.136109E-38
   5.150000E+01   1.593469E-15  -1.999857E-14   0.000000E+00   1.135434E-38
   5.250000E+01   1.593699E-15  -1.999857E-14   0.000000E+00   1.134529E-38
   5.350000E+01   1.593824E-15  -1.999857E-14   0.000000E+00   1.133352E-38
   5.450000E+01   1.593826E-15  -1.999857E-14   0.000000E+00   1.131858E-38
   5.550000E+01   1.593682E-15  -1.999857E-14   0.000000E+00   1.129998E-38
   5.650000E+01   1.593368E-15  -1.999857E-14   0.000000E+00   1.127721E-38
   5.750000E+01   1.592858E-15  -1.999857E-14   0.000000E+00   1.124971E-38
   5.850000E+01   1.592124E-15  -1.999857E-14   0.000000E+00   1.121692E-38
