# Time          2.5000E-01
# Units: Dimensionless (Log10(Q/Keq)
    Distance      Quartz         Kaolinite      (UO2)3(PO4)2.  Bogusite     
   5.000000E-01   4.085601E-01  -5.802918E+00   1.361766E-05   7.818977E-05
   1.500000E+00   4.086697E-01  -5.800329E+00   3.135138E-09   7.820855E-05
   2.500000E+00   4.087792E-01  -5.797744E+00   2.943137E-09   7.822731E-05
   3.500000E+00   4.088887E-01  -5.795168E+00  -4.179080E-04   7.824516E-05
   4.500000E+00   4.089977E-01  -5.792745E+00  -8.771954E-03   7.825089E-05
   5.500000E+00   4.091055E-01  -5.791756E+00  -1.001104E-01   7.813804E-05
   6.500000E+00   4.092092E-01  -5.798993E+00  -1.045736E+00   7.740314E-05
   7.500000E+00   4.093026E-01  -5.800242E+00  -4.931716E+00   7.698946E-05
   8.500000E+00   4.093720E-01  -5.797274E+00  -9.499305E+00   7.695051E-05
   9.500000E+00   4.093910E-01  -5.793422E+00  -1.408570E+01   7.688316E-05
   1.050000E+01   4.093162E-01  -5.788233E+00  -1.867482E+01   7.673349E-05
   1.150000E+01   4.090809E-01  -5.780779E+00  -2.323416E+01   7.644578E-05
   1.250000E+01   4.085935E-01  -5.769744E+00  -2.689164E+01   7.594697E-05
   1.350000E+01   4.077383E-01  -5.753428E+00  -2.766498E+01   7.514947E-05
   1.450000E+01   4.063822E-01  -5.729794E+00  -2.768613E+01   7.395856E-05
   1.550000E+01   4.043857E-01  -5.696553E+00  -2.767346E+01   7.228340E-05
   1.650000E+01   4.016183E-01  -5.651285E+00  -2.765488E+01   7.004986E-05
   1.750000E+01   3.979747E-01  -5.591545E+00  -2.763043E+01   6.721299E-05
   1.850000E+01   3.933898E-01  -5.514972E+00  -2.759947E+01   6.376653E-05
   1.950000E+01   3.878509E-01  -5.419367E+00  -2.756159E+01   5.974763E-05
   2.050000E+01   3.814031E-01  -5.302739E+00  -2.751674E+01   5.523581E-05
   2.150000E+01   3.741504E-01  -5.163339E+00  -2.746517E+01   5.034637E-05
   2.250000E+01   3.662485E-01  -4.999668E+00  -2.740753E+01   4.521948E-05
   2.350000E+01   3.578941E-01  -4.810486E+00  -2.734484E+01   4.000694E-05
   2.450000E+01   3.493089E-01  -4.594814E+00  -2.727849E+01   3.485853E-05
   2.550000E+01   3.407217E-01  -4.351954E+00  -2.721026E+01   2.991001E-05
   2.650000E+01   3.323514E-01  -4.081503E+00  -2.714216E+01   2.527400E-05
   2.750000E+01   3.243907E-01  -3.783404E+00  -2.707649E+01   2.103445E-05
   2.850000E+01   3.169945E-01  -3.458006E+00  -2.701561E+01   1.724483E-05
   2.950000E+01   3.102732E-01  -3.106181E+00  -2.696178E+01   1.392941E-05
   3.050000E+01   3.042900E-01  -2.729504E+00  -2.691696E+01   1.108701E-05
   3.150000E+01   2.990646E-01  -2.330549E+00  -2.688252E+01   8.696150E-06
   3.250000E+01   2.945788E-01  -1.913386E+00  -2.685897E+01   6.720833E-06
   3.350000E+01   2.907857E-01  -1.484390E+00  -2.684574E+01   5.116225E-06
   3.450000E+01   2.876189E-01  -1.053606E+00  -2.684099E+01   3.833753E-06
   3.550000E+01   2.850035E-01  -6.370500E-01  -2.684171E+01   2.825416E-06
   3.650000E+01   2.828686E-01  -2.598002E-01  -2.684386E+01   2.047310E-06
   3.750000E+01   2.811645E-01   4.240038E-02  -2.684283E+01   1.461507E-06
   3.850000E+01   2.798735E-01   2.296319E-01  -2.683392E+01   1.034127E-06
   3.950000E+01   2.789821E-01   2.794311E-01  -2.681307E+01   7.309937E-07
   4.050000E+01   2.784257E-01   2.149066E-01  -2.677797E+01   5.184194E-07
   4.150000E+01   2.780921E-01   1.113462E-01  -2.672925E+01   3.693123E-07
   4.250000E+01   2.778844E-01   4.226304E-02  -2.667149E+01   2.652240E-07
   4.350000E+01   2.777476E-01   1.492584E-02  -2.661486E+01   1.940174E-07
   4.450000E+01   2.776550E-01   6.016571E-03  -2.658021E+01   1.481401E-07
   4.550000E+01   2.775919E-01   3.578366E-03  -2.661437E+01   1.253970E-07
   4.650000E+01   2.775493E-01   4.531218E-03  -2.682805E+01   1.286727E-07
   4.750000E+01   2.775212E-01   5.444493E-03  -2.735173E+01   1.472208E-07
   4.850000E+01   2.775036E-01   3.913164E-03  -2.798847E+01   1.641550E-07
   4.950000E+01   2.774927E-01   2.209746E-03  -2.849565E+01   1.758505E-07
   5.050000E+01   2.774860E-01   1.094023E-03  -2.884854E+01   1.834100E-07
   5.150000E+01   2.774818E-01   4.966396E-04  -2.908281E+01   1.882159E-07
   5.250000E+01   2.774792E-01   2.144007E-04  -2.923516E+01   1.912570E-07
   5.350000E+01   2.774776E-01   8.981793E-05  -2.933320E+01   1.931760E-07
   5.450000E+01   2.774765E-01   3.680045E-05  -2.939585E+01   1.943828E-07
   5.550000E+01   2.774759E-01   1.473588E-05  -2.943563E+01   1.951385E-07
   5.650000E+01   2.774755E-01   5.703813E-06  -2.946074E+01   1.956092E-07
   5.750000E+01   2.774752E-01   2.059602E-06  -2.947650E+01   1.959008E-07
   5.850000E+01   2.774750E-01   6.093601E-07  -2.948632E+01   1.960804E-07
   5.950000E+01   2.774749E-01   4.000607E-08  -2.949241E+01   1.961903E-07
   6.050000E+01   2.774749E-01  -1.805117E-07  -2.949617E+01   1.962572E-07
   6.150000E+01   2.774748E-01  -2.647668E-07  -2.949846E+01   1.962977E-07
   6.250000E+01   2.774748E-01  -2.965170E-07  -2.949986E+01   1.963220E-07
   6.350000E+01   2.774748E-01  -3.083112E-07  -2.950071E+01   1.963366E-07
   6.450000E+01   2.774748E-01  -3.126253E-07  -2.950121E+01   1.963453E-07
   6.550000E+01   2.774748E-01  -3.141759E-07  -2.950152E+01   1.963504E-07
   6.650000E+01   2.774748E-01  -3.147213E-07  -2.950170E+01   1.963534E-07
   6.750000E+01   2.774748E-01  -3.149076E-07  -2.950181E+01   1.963552E-07
