# Time          1.5000E+00
# Units: Mol/m^3 porous medium
    Distance      H+             HPO4--         Al+++          SiO2(aq)       UO2++          Bogusite(aq) 
   5.000000E-01  -5.625694E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.177014E-02   0.000000E+00
   1.500000E+00  -5.625670E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.177008E-02   0.000000E+00
   2.500000E+00  -5.625654E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.177002E-02   0.000000E+00
   3.500000E+00  -5.625637E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176997E-02   0.000000E+00
   4.500000E+00  -5.625620E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176991E-02   0.000000E+00
   5.500000E+00  -5.625604E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176986E-02   0.000000E+00
   6.500000E+00  -5.625587E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176980E-02   0.000000E+00
   7.500000E+00  -5.625571E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176975E-02   0.000000E+00
   8.500000E+00  -5.625554E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176969E-02   0.000000E+00
   9.500000E+00  -5.625537E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176964E-02   0.000000E+00
   1.050000E+01  -5.625521E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176958E-02   0.000000E+00
   1.150000E+01  -5.625504E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176953E-02   0.000000E+00
   1.250000E+01  -5.625488E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176947E-02   0.000000E+00
   1.350000E+01  -5.625471E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176941E-02   0.000000E+00
   1.450000E+01  -5.625454E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176936E-02   0.000000E+00
   1.550000E+01  -5.625438E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176930E-02   0.000000E+00
   1.650000E+01  -5.625421E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176925E-02   0.000000E+00
   1.750000E+01  -5.625404E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176919E-02   0.000000E+00
   1.850000E+01  -5.625388E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176914E-02   0.000000E+00
   1.950000E+01  -5.625371E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176908E-02   0.000000E+00
   2.050000E+01  -5.625355E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176903E-02   0.000000E+00
   2.150000E+01  -5.625338E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176897E-02   0.000000E+00
   2.250000E+01  -5.625320E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176891E-02   0.000000E+00
   2.350000E+01  -5.625301E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176885E-02   0.000000E+00
   2.450000E+01  -5.625277E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176879E-02   0.000000E+00
   2.550000E+01  -5.625242E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176871E-02   0.000000E+00
   2.650000E+01  -5.625059E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176843E-02   0.000000E+00
   2.750000E+01  -5.624449E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176760E-02   0.000000E+00
   2.850000E+01  -5.622929E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176556E-02   0.000000E+00
   2.950000E+01  -5.619560E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.176109E-02   0.000000E+00
   3.050000E+01  -5.612580E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.175187E-02   0.000000E+00
   3.150000E+01  -5.598466E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.173324E-02   0.000000E+00
   3.250000E+01  -5.570318E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.169608E-02   0.000000E+00
   3.350000E+01  -5.512479E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.161953E-02   0.000000E+00
   3.450000E+01  -5.386619E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.145199E-02   0.000000E+00
   3.550000E+01  -5.079401E-03   0.000000E+00   0.000000E+00   0.000000E+00   1.103703E-02   0.000000E+00
   3.650000E+01  -4.129116E-03   0.000000E+00   0.000000E+00   0.000000E+00   9.687891E-03   0.000000E+00
   3.750000E+01  -1.813299E-03   0.000000E+00   0.000000E+00   0.000000E+00   5.627138E-03   0.000000E+00
   3.850000E+01  -3.126545E-04   0.000000E+00   0.000000E+00   0.000000E+00   1.346818E-03   0.000000E+00
   3.950000E+01  -3.920201E-05   0.000000E+00   0.000000E+00   0.000000E+00   1.839461E-04   0.000000E+00
   4.050000E+01  -4.882659E-06   0.000000E+00   0.000000E+00   0.000000E+00   2.317460E-05   0.000000E+00
   4.150000E+01  -6.351851E-07   0.000000E+00   0.000000E+00   0.000000E+00   3.018715E-06   0.000000E+00
   4.250000E+01  -8.668393E-08   0.000000E+00   0.000000E+00   0.000000E+00   4.119827E-07   0.000000E+00
   4.350000E+01  -1.245341E-08   0.000000E+00   0.000000E+00   0.000000E+00   5.918039E-08   0.000000E+00
   4.450000E+01  -1.931150E-09   0.000000E+00   0.000000E+00   0.000000E+00   9.175847E-09   0.000000E+00
   4.550000E+01  -3.363044E-10   0.000000E+00   0.000000E+00   0.000000E+00   1.597727E-09   0.000000E+00
   4.650000E+01  -7.725286E-11   0.000000E+00   0.000000E+00   0.000000E+00   3.669652E-10   0.000000E+00
   4.750000E+01  -3.345803E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.589101E-10   0.000000E+00
   4.850000E+01  -2.592280E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.231046E-10   0.000000E+00
   4.950000E+01  -2.462231E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.169129E-10   0.000000E+00
   5.050000E+01  -2.440059E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.158446E-10   0.000000E+00
   5.150000E+01  -2.436539E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156620E-10   0.000000E+00
   5.250000E+01  -2.436231E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156319E-10   0.000000E+00
   5.350000E+01  -2.436468E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156278E-10   0.000000E+00
   5.450000E+01  -2.436795E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156279E-10   0.000000E+00
   5.550000E+01  -2.437127E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156283E-10   0.000000E+00
   5.650000E+01  -2.437453E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156283E-10   0.000000E+00
   5.750000E+01  -2.437779E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156282E-10   0.000000E+00
   5.850000E+01  -2.438112E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156284E-10   0.000000E+00
   5.950000E+01  -2.438449E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156286E-10   0.000000E+00
   6.050000E+01  -2.438780E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156283E-10   0.000000E+00
   6.150000E+01  -2.439107E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156277E-10   0.000000E+00
   6.250000E+01  -2.439439E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156269E-10   0.000000E+00
   6.350000E+01  -2.439776E-11   0.000000E+00   0.000000E+00   0.000000E+00   1.156260E-10   0.000000E+00
