Observation Name, Region, Functional, Variable, Time, Value
===========================================================
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 1.3275750000000002e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.9440000000000000e+03, 1.3275749977035348e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.2940000000000000e+03, 1.3275749876070058e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.9810000000000000e+03, 1.3275749499218701e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.0900000000000000e+03, 1.3275748326663354e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.7270000000000000e+03, 1.3275745144046359e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.3023000000000000e+04, 1.3275737418997455e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.7143000000000000e+04, 1.3275720375803921e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.2293000000000000e+04, 1.3275685858242381e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.8730000000000000e+04, 1.3275621275821084e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.6777000000000000e+04, 1.3275509128333379e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.6835000000000000e+04, 1.3275327827750000e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 5.9408000000000000e+04, 1.3275053890511084e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.5124000000000000e+04, 1.3274665384141649e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.4769000000000000e+04, 1.3274145306449160e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.1932500000000000e+05, 1.3273484200234388e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.5002100000000000e+05, 1.3272679787942998e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.8839000000000000e+05, 1.3271737207014901e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.3635200000000000e+05, 1.3270666531637295e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.9630400000000000e+05, 1.3269480878293565e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.7124400000000000e+05, 1.3268194547981068e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.6491900000000000e+05, 1.3266821776457680e+06
