Observation Name, Region, Functional, Variable, Time, Value
===========================================================
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 1.2371562500000000e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.9440000000000000e+03, 1.2371562239123085e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.2940000000000000e+03, 1.2371561526878367e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.9810000000000000e+03, 1.2371559558866296e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.0900000000000000e+03, 1.2371554655624118e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.7270000000000000e+03, 1.2371543319570255e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.3023000000000000e+04, 1.2371518696991103e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.7143000000000000e+04, 1.2371468092053563e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.2293000000000000e+04, 1.2371369355599971e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.8730000000000000e+04, 1.2371186100485504e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.6777000000000000e+04, 1.2370861930741968e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.6835000000000000e+04, 1.2370314680993061e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 5.9408000000000000e+04, 1.2369430972495617e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.5124000000000000e+04, 1.2368062984166215e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.4769000000000000e+04, 1.2366027750582637e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.1932500000000000e+05, 1.2363110925806025e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.5002100000000000e+05, 1.2359075590430519e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.8839000000000000e+05, 1.2353677899491978e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.3635200000000000e+05, 1.2346687161215344e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.9630400000000000e+05, 1.2337912704063344e+06
output01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.7124400000000000e+05, 1.2327233161040605e+06
