Observation Name, Region, Functional, Variable, Time, Value
===========================================================
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 1.3271562500000000e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 1.3271562500000000e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.9440000000000000e+03, 1.3271562477631764e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.2940000000000000e+03, 1.3271562377733232e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.9810000000000000e+03, 1.3271562004019790e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.0900000000000000e+03, 1.3271560839842875e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.7270000000000000e+03, 1.3271558251268282e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.3023000000000000e+04, 1.3271550712905426e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.7143000000000000e+04, 1.3271533873810119e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.2293000000000000e+04, 1.3271499576427885e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.8730000000000000e+04, 1.3271440444396061e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 3.6777000000000000e+04, 1.3271327933689237e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 4.6835000000000000e+04, 1.3271146018285763e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 5.9408000000000000e+04, 1.3270871369995493e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 7.5124000000000000e+04, 1.3270482205394055e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 9.4769000000000000e+04, 1.3269963597904413e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.1932500000000000e+05, 1.3269297970764085e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.5002100000000000e+05, 1.3268490876381816e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 1.8839000000000000e+05, 1.3267546882163021e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.3635200000000000e+05, 1.3266450076030423e+06
Pressure 01, Obs_r20, Observation Data: Point, Aqueous pressure, 2.9630400000000000e+05, 1.3265267732187719e+06
