Observation Name, Region, Functional, Variable, Time, Value
===========================================================
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999997e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474999999997e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4842474999999962e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4842474999999837e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4842474999983198e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4841734709969626e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4838735718696646e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4835499088714240e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 2.8000000000000000e+04, 2.4795370544253167e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 3.5000000000000000e+04, 2.4780070971369033e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.3000000000000000e+04, 2.4764280802095204e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.1000000000000000e+04, 2.4707046976419893e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+04, 2.4696374435836979e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+05, 2.4685702539286105e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.6400000000000000e+05, 2.4640054570530480e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999994e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474999999994e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4842474999999985e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4842474999999985e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4842474999999985e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4842465285406317e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4842321975447019e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4842009806471170e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 2.8000000000000000e+04, 2.4830882924951284e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 3.5000000000000000e+04, 2.4824309790865876e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 4.3000000000000000e+04, 2.4816311847456044e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 8.1000000000000000e+04, 2.4781866285363742e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+04, 2.4774894538390994e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+05, 2.4767792634850557e+05
Pressure 03, Obs_r50, Observation Data: Point, Aqueous pressure, 1.6400000000000000e+05, 2.4736540415815532e+05
Pressure 04, Obs_r1000, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 04, Obs_r1000, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999994e+05
Pressure 04, Obs_r1000, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474999999994e+05
Pressure 04, Obs_r1000, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4842474999999988e+05
