Observation Name, Region, Functional, Variable, Time, Value
===========================================================
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999834e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474998914887e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+01, 2.4838031168565538e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 7.0000000000000000e+01, 2.4833621346582141e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+01, 2.4828104571764849e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.1000000000000000e+02, 2.4822082764933017e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4740275421214270e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4718640740195476e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4700195210137175e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.2000000000000000e+03, 2.4623395830996710e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.4000000000000000e+03, 2.4604584356010851e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 2.0000000000000000e+03, 2.4560433432783934e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 2.6000000000000000e+03, 2.4526607525871269e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 3.2000000000000000e+03, 2.4500298224495546e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+03, 2.4471758608951455e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4442840864747137e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4379897306847098e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4350599333977577e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.2000000000000000e+04, 2.4326137033431319e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.8000000000000000e+04, 2.4271902020717793e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 2.2000000000000000e+04, 2.4244937390728205e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 2.8000000000000000e+04, 2.4211529857313354e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 3.5000000000000000e+04, 2.4181943637708758e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 4.3000000000000000e+04, 2.4154326911895716e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 5.1000000000000000e+04, 2.4131104109697204e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 6.1000000000000000e+04, 2.4106902965718549e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 7.1000000000000000e+04, 2.4086273526486324e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 8.1000000000000000e+04, 2.4068401000430493e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+04, 2.4054133334972462e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+05, 2.4040122426771995e+05
Pressure 01, Obs_r10, Observation Data: Point, Aqueous pressure, 1.6400000000000000e+05, 2.3983642359429944e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 0.0000000000000000e+00, 2.4842475000000000e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.6400000000000005e-02, 2.4842474999999994e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.0000000000000002e-01, 2.4842474999999793e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+01, 2.4841435555054230e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 7.0000000000000000e+01, 2.4840004399414719e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 9.0000000000000000e+01, 2.4837808444023950e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.1000000000000000e+02, 2.4835109093246059e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+02, 2.4781066010794352e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+02, 2.4763844963055523e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 6.0000000000000000e+02, 2.4748453437171181e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.2000000000000000e+03, 2.4680262615604611e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.4000000000000000e+03, 2.4662907814670153e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 2.0000000000000000e+03, 2.4621398380854889e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 2.6000000000000000e+03, 2.4589083615631596e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 3.2000000000000000e+03, 2.4563677127267793e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 4.0000000000000000e+03, 2.4535933628804440e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 5.0000000000000000e+03, 2.4507669315376700e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 8.0000000000000000e+03, 2.4445762017508002e+05
Pressure 02, Obs_r30, Observation Data: Point, Aqueous pressure, 1.0000000000000000e+04, 2.4416794432562828e+05
